"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税込・10%対象)","客単価(税込・8%対象)","客単価(税抜)","客単価(税抜・10%対象)","客単価(税抜・8%対象)","過不足"
"12/1(木)","43","50168","32","50136","46446","32","46414","0","3722","0","3722","24","24035","22252","19","交通系IC(5)/JCB(3)/Master(9)/選択なし(1)/iD(1)","26133","交通系IC(5483)/JCB(3443)/Master(15145)/選択なし(734)/iD(1328)","24194","交通系IC(5076)/JCB(3188)/Master(14021)/選択なし(680)/iD(1229)","0","","0","","0","","2","270","250","0","0","0","","0","0","0","0","0","0","0","43","0","0","1167","1","1166","1080","1","1079","0"
"12/2(金)","60","59140","51","59089","54754","51","54703","0","4386","0","4386","36","29225","27058","24","Master(11)/交通系IC(8)/選択なし(1)/JCB(3)/iD(1)","29915","Master(17296)/交通系IC(7633)/選択なし(410)/JCB(3183)/iD(1393)","27697","Master(16013)/交通系IC(7067)/選択なし(380)/JCB(2947)/iD(1290)","0","","0","","0","","1","256","237","0","0","0","","0","0","0","0","0","0","0","60","0","0","986","1","985","913","1","912","0"
"12/3(土)","89","111651","62","111589","103375","62","103313","0","8276","0","8276","45","44650","41340","44","Master(20)/iD(8)/QUICPay(2)/交通系IC(9)/JCB(5)","67001","Master(27262)/iD(15286)/QUICPay(2182)/交通系IC(11580)/JCB(10691)","62035","Master(25241)/iD(14153)/QUICPay(2020)/交通系IC(10722)/JCB(9899)","0","","0","","0","","2","584","540","0","0","0","","0","0","0","0","0","0","0","89","0","0","1255","1","1254","1162","1","1161","0"
"12/4(日)","78","113860","78","113782","105416","78","105338","0","8444","0","8444","38","41421","38349","40","QUICPay(3)/Master(13)/iD(5)/JCB(6)/交通系IC(13)","72439","QUICPay(3716)/Master(27485)/iD(12169)/JCB(13842)/交通系IC(15227)","67067","QUICPay(3440)/Master(25447)/iD(11267)/JCB(12815)/交通系IC(14098)","0","","0","","0","","2","1578","1461","0","0","0","","0","0","0","0","0","0","0","78","0","0","1460","1","1459","1351","1","1350","0"
"12/5(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12/6(火)","43","46176","44","46132","42750","44","42706","0","3426","0","3426","29","29622","27424","14","Master(7)/選択なし(1)/WAON(2)/交通系IC(1)/JCB(3)","16554","Master(10247)/選択なし(745)/WAON(1759)/交通系IC(500)/JCB(3303)","15326","Master(9487)/選択なし(690)/WAON(1628)/交通系IC(463)/JCB(3058)","0","","0","","0","","4","587","545","0","0","0","","0","0","0","0","0","0","0","43","0","0","1074","1","1073","994","1","993","0"
"12/7(水)","52","54854","61","54793","50783","61","50722","0","4071","0","4071","33","34666","32093","19","Master(8)/iD(2)/JCB(5)/QUICPay(1)/交通系IC(3)","20188","Master(11034)/iD(2304)/JCB(3421)/QUICPay(1385)/交通系IC(2044)","18689","Master(10215)/iD(2133)/JCB(3167)/QUICPay(1282)/交通系IC(1892)","0","","0","","0","","1","81","75","0","0","0","","0","0","0","0","0","0","0","52","0","0","1055","1","1054","977","1","975","0"
"12/8(木)","55","64862","54","64808","60051","54","59997","0","4811","0","4811","27","32269","29876","28","QUICPay(2)/交通系IC(10)/Master(11)/選択なし(2)/JCB(3)","32593","QUICPay(2722)/交通系IC(8728)/Master(15999)/選択なし(1550)/JCB(3594)","30175","QUICPay(2520)/交通系IC(8081)/Master(14812)/選択なし(1435)/JCB(3327)","0","","0","","0","","2","473","438","0","0","0","","0","0","0","0","0","0","0","55","0","0","1179","1","1178","1092","1","1091","0"
"12/9(金)","53","63986","68","63918","59239","68","59171","0","4747","0","4747","28","27613","25564","25","Master(7)/交通系IC(8)/QUICPay(2)/iD(2)/JCB(4)/選択なし(1)/WAON(1)","36373","Master(11418)/交通系IC(10270)/QUICPay(1974)/iD(2395)/JCB(5539)/選択なし(1564)/WAON(3213)","33675","Master(10571)/交通系IC(9508)/QUICPay(1828)/iD(2217)/JCB(5128)/選択なし(1448)/WAON(2975)","0","","0","","0","","1","311","288","0","0","0","","0","0","0","0","0","0","0","53","0","0","1207","1","1206","1118","1","1116","0"
"12/10(土)","98","125267","76","125191","115981","76","115905","0","9286","0","9286","52","53317","49365","46","Master(20)/WAON(3)/iD(5)/QUICPay(2)/選択なし(2)/交通系IC(11)/JCB(3)","71950","Master(34497)/WAON(3458)/iD(5040)/QUICPay(2207)/選択なし(2345)/交通系IC(14341)/JCB(10062)","66616","Master(31940)/WAON(3202)/iD(4666)/QUICPay(2043)/選択なし(2171)/交通系IC(13278)/JCB(9316)","0","","0","","0","","1","416","386","0","0","0","","0","0","0","0","0","0","0","98","0","0","1278","1","1277","1183","1","1183","0"
"12/11(日)","64","83665","72","83593","77457","72","77385","0","6208","0","6208","33","41387","38316","31","iD(7)/Master(10)/交通系IC(11)/QUICPay(1)/JCB(2)","42278","iD(8597)/Master(18342)/交通系IC(10705)/QUICPay(518)/JCB(4116)","39142","iD(7959)/Master(16981)/交通系IC(9911)/QUICPay(480)/JCB(3811)","0","","0","","0","","3","810","750","0","0","0","","0","0","0","0","0","0","0","64","0","0","1307","1","1306","1210","1","1209","0"
