"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税込・10%対象)","客単価(税込・8%対象)","客単価(税抜)","客単価(税抜・10%対象)","客単価(税抜・8%対象)","過不足"
"08/1(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08/2(火)","33","33052","31","33021","30598","31","30567","0","2454","0","2454","22","21169","19597","11","Master(5)/iD(3)/交通系IC(3)","11883","Master(5635)/iD(2602)/交通系IC(3646)","11001","Master(5217)/iD(2409)/交通系IC(3375)","0","","0","","0","","2","474","439","0","0","0","","0","0","0","0","0","0","0","33","0","0","1002","1","1001","927","1","926","0"
"08/3(水)","43","36670","28","36642","33950","28","33922","0","2720","0","2720","28","23217","21495","15","交通系IC(9)/Master(4)/iD(2)","13453","交通系IC(8805)/Master(3281)/iD(1367)","12456","交通系IC(8152)/Master(3038)/iD(1266)","0","","0","","0","","2","258","238","0","0","0","","0","0","0","0","0","0","0","43","0","0","853","1","852","790","1","789","0"
"08/4(木)","33","29657","28","29629","27454","28","27426","0","2203","0","2203","22","19965","18482","11","交通系IC(7)/Master(1)/JCB(2)/iD(1)","9692","交通系IC(6402)/Master(862)/JCB(1543)/iD(885)","8971","交通系IC(5926)/Master(798)/JCB(1428)/iD(819)","0","","0","","0","","1","94","87","0","0","0","","0","0","0","0","0","0","0","33","0","0","899","1","898","832","1","831","0"
"08/5(金)","40","39207","13","39194","36296","13","36283","0","2911","0","2911","29","28816","26677","11","交通系IC(5)/Master(2)/iD(3)/JCB(1)","10391","交通系IC(4404)/Master(2524)/iD(2874)/JCB(589)","9620","交通系IC(4077)/Master(2337)/iD(2661)/JCB(545)","0","","0","","0","","2","378","350","0","0","0","","0","0","0","0","0","0","0","40","0","0","980","0","980","907","0","907","0"
"08/6(土)","83","91635","85","91550","84832","85","84747","0","6803","0","6803","38","39017","36120","45","iD(7)/交通系IC(16)/Master(12)/WAON(1)/JCB(6)/選択なし(1)/QUICPay(2)","52618","iD(7645)/交通系IC(13534)/Master(17046)/WAON(356)/JCB(11514)/選択なし(811)/QUICPay(1712)","48712","iD(7077)/交通系IC(12529)/Master(15781)/WAON(330)/JCB(10659)/選択なし(751)/QUICPay(1585)","0","","0","","0","","1","186","172","0","0","0","","0","0","0","0","0","0","0","83","0","0","1104","1","1103","1022","1","1021","0"
"08/7(日)","69","74154","47","74107","68648","47","68601","0","5506","0","5506","37","36359","33659","32","Master(11)/交通系IC(11)/JCB(3)/選択なし(2)/QUICPay(1)/iD(3)/WAON(1)","37795","Master(10620)/交通系IC(13441)/JCB(3776)/選択なし(3474)/QUICPay(713)/iD(4998)/WAON(773)","34989","Master(9831)/交通系IC(12443)/JCB(3496)/選択なし(3216)/QUICPay(660)/iD(4627)/WAON(716)","0","","0","","0","","5","1152","1067","0","0","0","","0","0","0","0","0","0","0","69","0","0","1075","1","1074","995","1","994","0"
"08/8(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08/9(火)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08/10(水)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
