"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税抜)","過不足"
"06/1(火)","81","71332","1255","70077","66047","1147","64900","0","5285","108","5177","50","41913","38808","31","交通系IC(12)/iD(6)/MASTER(7)/選択なし(1)/WAON(1)/JCB(4)","29419","交通系IC(7398)/iD(4774)/MASTER(7492)/選択なし(2736)/WAON(499)/JCB(6520)","27239","交通系IC(6850)/iD(4420)/MASTER(6937)/選択なし(2533)/WAON(462)/JCB(6037)","0","","0","","0","","1","246","228","0","0","0","","0","0","0","0","0","0","0","81","0","0","881","815","0"
"06/2(水)","67","59482","51","59431","55096","51","55045","0","4386","0","4386","40","32927","30499","27","MASTER(6)/JCB(5)/交通系IC(13)/選択なし(1)/iD(2)","26555","MASTER(6690)/JCB(4966)/交通系IC(11899)/選択なし(680)/iD(2320)","24598","MASTER(6197)/JCB(4600)/交通系IC(11022)/選択なし(630)/iD(2149)","0","","0","","0","","1","279","258","0","0","0","","0","0","0","0","0","0","0","67","0","0","888","822","0"
"06/3(木)","73","59894","52","59842","55479","52","55427","0","4415","0","4415","48","38492","35655","25","交通系IC(11)/MASTER(4)/WAON(1)/iD(4)/JCB(4)/選択なし(1)","21402","交通系IC(8857)/MASTER(3694)/WAON(373)/iD(4252)/JCB(3696)/選択なし(530)","19826","交通系IC(8204)/MASTER(3422)/WAON(346)/iD(3939)/JCB(3424)/選択なし(491)","0","","0","","0","","1","282","261","0","0","0","","0","0","0","0","0","0","0","73","0","0","820","760","0"
"06/4(金)","46","41372","20","41352","38320","20","38300","0","3052","0","3052","27","21229","19663","18","JCB(3)/交通系IC(7)/MASTER(6)/選択なし(2)","19873","JCB(1419)/交通系IC(9170)/MASTER(7761)/選択なし(1523)","18407","JCB(1314)/交通系IC(8494)/MASTER(7188)/選択なし(1411)","1","選択なし(1)","270","選択なし(270)","250","選択なし(250)","1","179","165","0","0","0","","0","0","0","0","0","0","0","46","0","0","899","833","0"
"06/5(土)","128","141011","111","140900","130598","111","130487","0","10413","0","10413","80","84268","78045","48","WAON(2)/iD(4)/JCB(7)/MASTER(13)/交通系IC(18)/選択なし(2)/QUICPay(2)","56743","WAON(1671)/iD(4465)/JCB(9381)/MASTER(22735)/交通系IC(14917)/選択なし(2348)/QUICPay(1226)","52552","WAON(1548)/iD(4135)/JCB(8688)/MASTER(21056)/交通系IC(13815)/選択なし(2175)/QUICPay(1135)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","128","0","0","1102","1020","0"
"06/6(日)","95","92422","53","92369","85603","53","85550","0","6819","0","6819","55","44203","40942","40","iD(5)/MASTER(10)/交通系IC(16)/JCB(5)/QUICPay(2)/WAON(1)/選択なし(1)","48219","iD(4056)/MASTER(15178)/交通系IC(17243)/JCB(7014)/QUICPay(2295)/WAON(660)/選択なし(1773)","44662","iD(3757)/MASTER(14058)/交通系IC(15971)/JCB(6497)/QUICPay(2126)/WAON(611)/選択なし(1642)","0","","0","","0","","4","1472","1363","0","0","0","","0","0","0","0","0","0","0","95","0","0","973","901","0"
"06/7(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06/8(火)","72","61971","57","61914","57400","57","57343","0","4571","0","4571","47","41830","38745","25","交通系IC(13)/JCB(3)/MASTER(6)/iD(2)/選択なし(1)","20141","交通系IC(8095)/JCB(3202)/MASTER(6292)/iD(1720)/選択なし(832)","18656","交通系IC(7498)/JCB(2966)/MASTER(5828)/iD(1593)/選択なし(771)","0","","0","","0","","1","476","441","0","0","0","","0","0","0","0","0","0","0","72","0","0","861","797","0"
"06/9(水)","64","67334","73","67261","62369","73","62296","0","4965","0","4965","32","36670","33966","32","MASTER(9)/JCB(4)/交通系IC(16)/iD(2)/QUICPay(1)","30664","MASTER(11153)/JCB(4511)/交通系IC(13094)/iD(1419)/QUICPay(487)","28402","MASTER(10331)/JCB(4178)/交通系IC(12128)/iD(1314)/QUICPay(451)","0","","0","","0","","1","230","213","0","0","0","","0","0","0","0","0","0","0","64","0","0","1052","975","0"
"06/10(木)","60","57653","44","57609","53397","44","53353","0","4256","0","4256","35","34817","32247","25","MASTER(5)/交通系IC(15)/QUICPay(2)/iD(2)/WAON(1)","22836","MASTER(3413)/交通系IC(13022)/QUICPay(1679)/iD(4182)/WAON(540)","21150","MASTER(3161)/交通系IC(12061)/QUICPay(1555)/iD(3873)/WAON(500)","0","","0","","0","","2","470","435","0","0","0","","0","0","0","0","0","0","0","60","0","0","961","890","0"
