"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税込・10%対象)","客単価(税込・8%対象)","客単価(税抜)","客単価(税抜・10%対象)","客単価(税抜・8%対象)","過不足"
"03/1(火)","87","82440","57","82383","76357","57","76300","0","6083","0","6083","50","42057","38954","37","JCB(4)/交通系IC(13)/選択なし(5)/Master(11)/iD(3)/WAON(1)","40383","JCB(4808)/交通系IC(9679)/選択なし(6148)/Master(15999)/iD(2517)/WAON(1232)","37402","JCB(4453)/交通系IC(8965)/選択なし(5694)/Master(14818)/iD(2331)/WAON(1141)","0","","0","","0","","1","84","78","0","0","0","","0","0","0","0","0","0","0","87","0","0","948","1","947","878","1","877","0"
"03/2(水)","47","43307","35","43272","40113","35","40078","0","3194","0","3194","27","21448","19866","20","QUICPay(1)/Master(6)/iD(2)/選択なし(1)/JCB(2)/交通系IC(7)/WAON(1)","21859","QUICPay(356)/Master(7672)/iD(1318)/選択なし(929)/JCB(4720)/交通系IC(5368)/WAON(1496)","20247","QUICPay(330)/Master(7106)/iD(1221)/選択なし(860)/JCB(4372)/交通系IC(4972)/WAON(1386)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","47","0","0","921","1","921","853","1","853","0"
"03/3(木)","57","52679","51","52628","48795","51","48744","0","3884","0","3884","38","31108","28814","19","JCB(2)/交通系IC(9)/Master(5)/iD(3)","21571","JCB(1981)/交通系IC(9776)/Master(7332)/iD(2482)","19980","JCB(1835)/交通系IC(9055)/Master(6791)/iD(2299)","0","","0","","0","","2","304","282","0","0","0","","0","0","0","0","0","0","0","57","0","0","924","1","923","856","1","855","0"
"03/4(金)","55","59199","66","59133","54837","66","54771","0","4362","0","4362","37","38774","35917","18","JCB(3)/Master(9)/交通系IC(5)/QUICPay(1)","20425","JCB(2880)/Master(11291)/交通系IC(5757)/QUICPay(497)","18920","JCB(2668)/Master(10459)/交通系IC(5333)/QUICPay(460)","0","","0","","0","","1","214","198","0","0","0","","0","0","0","0","0","0","0","55","0","0","1076","1","1075","997","1","996","0"
"03/5(土)","108","115658","110","115548","107129","110","107019","0","8529","0","8529","58","61918","57352","50","JCB(5)/WAON(1)/iD(6)/Master(17)/交通系IC(21)","53740","JCB(4209)/WAON(616)/iD(6087)/Master(22378)/交通系IC(20450)","49778","JCB(3899)/WAON(571)/iD(5638)/Master(20728)/交通系IC(18942)","0","","0","","0","","1","247","229","0","0","0","","0","0","0","0","0","0","0","108","0","0","1071","1","1070","992","1","991","0"
"03/6(日)","85","91817","82","91735","85044","82","84962","0","6773","0","6773","58","62783","58152","28","交通系IC(15)/Master(5)/iD(5)/JCB(3)","29034","交通系IC(14680)/Master(6784)/iD(4851)/JCB(2719)","26892","交通系IC(13597)/Master(6284)/iD(4493)/JCB(2518)","0","","0","","0","","1","188","174","0","0","0","","0","0","0","0","0","0","0","85","0","0","1080","1","1079","1001","1","1000","0"
"03/7(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/8(火)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/9(水)","68","67321","36","67285","62357","36","62321","0","4964","0","4964","34","36854","34137","34","JCB(5)/交通系IC(19)/Master(9)/iD(1)","30467","JCB(4726)/交通系IC(13813)/Master(11052)/iD(876)","28220","JCB(4378)/交通系IC(12794)/Master(10237)/iD(811)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","68","0","0","990","1","989","917","1","916","0"
"03/10(木)","63","57571","45","57526","53322","45","53277","0","4249","0","4249","41","37101","34363","22","Master(10)/JCB(2)/交通系IC(7)/選択なし(1)/iD(1)/QUICPay(1)","20470","Master(12167)/JCB(572)/交通系IC(5229)/選択なし(929)/iD(1357)/QUICPay(216)","18959","Master(11269)/JCB(530)/交通系IC(4843)/選択なし(860)/iD(1257)/QUICPay(200)","0","","0","","0","","2","405","375","0","0","0","","0","0","0","0","0","0","0","63","0","0","914","1","913","846","1","846","0"
"03/11(金)","61","58634","49","58585","54311","49","54262","0","4323","0","4323","38","35099","32511","23","Master(8)/iD(3)/交通系IC(8)/JCB(4)","23535","Master(11289)/iD(3121)/交通系IC(5643)/JCB(3482)","21800","Master(10457)/iD(2891)/交通系IC(5227)/JCB(3225)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","61","0","0","961","1","960","890","1","890","0"
"03/12(土)","94","103076","93","102983","95484","93","95391","0","7592","0","7592","55","57506","53270","39","iD(5)/交通系IC(16)/Master(11)/選択なし(5)/JCB(2)","45570","iD(5072)/交通系IC(14244)/Master(16343)/選択なし(7245)/JCB(2666)","42213","iD(4698)/交通系IC(13195)/Master(15139)/選択なし(6711)/JCB(2470)","0","","0","","0","","1","275","255","0","0","0","","0","0","0","0","0","0","0","94","0","0","1097","1","1096","1016","1","1015","0"
"03/13(日)","85","93127","46","93081","86264","46","86218","0","6863","0","6863","48","50979","47222","37","iD(5)/交通系IC(15)/Master(10)/JCB(5)/選択なし(2)","42148","iD(3989)/交通系IC(14583)/Master(15493)/JCB(4177)/選択なし(3906)","39041","iD(3695)/交通系IC(13508)/Master(14351)/JCB(3869)/選択なし(3618)","0","","0","","0","","2","392","362","0","0","0","","0","0","0","0","0","0","0","85","0","0","1096","1","1095","1015","1","1014","0"
"03/14(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/15(火)","77","70624","65","70559","65418","65","65353","0","5206","0","5206","45","38576","35732","32","交通系IC(17)/Master(11)/QUICPay(1)/iD(2)/JCB(1)","32048","交通系IC(12584)/Master(15704)/QUICPay(1025)/iD(1892)/JCB(843)","29685","交通系IC(11656)/Master(14546)/QUICPay(949)/iD(1753)/JCB(781)","0","","0","","0","","1","78","72","0","0","0","","0","0","0","0","0","0","0","77","0","0","917","1","916","850","1","849","0"
"03/16(水)","61","60203","55","60148","55767","55","55712","0","4436","0","4436","40","40937","37921","21","JCB(3)/Master(8)/選択なし(2)/iD(3)/交通系IC(5)","19266","JCB(3437)/Master(9018)/選択なし(1182)/iD(3021)/交通系IC(2608)","17847","JCB(3184)/Master(8354)/選択なし(1095)/iD(2798)/交通系IC(2416)","0","","0","","0","","1","128","118","0","0","0","","0","0","0","0","0","0","0","61","0","0","987","1","986","914","1","913","0"
"03/17(木)","57","47840","35","47805","44308","35","44273","0","3532","0","3532","39","34115","31596","18","交通系IC(9)/JCB(3)/Master(3)/iD(2)/QUICPay(1)","13725","交通系IC(8285)/JCB(1359)/Master(2665)/iD(1200)/QUICPay(216)","12711","交通系IC(7673)/JCB(1259)/Master(2468)/iD(1111)/QUICPay(200)","0","","0","","0","","1","932","863","0","0","0","","0","0","0","0","0","0","0","57","0","0","839","1","839","777","1","777","0"
"03/18(金)","44","46274","42","46232","42864","42","42822","0","3410","0","3410","19","16241","15044","25","交通系IC(8)/iD(2)/Master(11)/JCB(3)/QUICPay(1)","30033","交通系IC(7924)/iD(3054)/Master(14615)/JCB(3391)/QUICPay(1049)","27820","交通系IC(7340)/iD(2829)/Master(13538)/JCB(3141)/QUICPay(972)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","44","0","0","1052","1","1051","974","1","973","0"
"03/19(土)","92","113284","112","113172","104938","112","104826","0","8346","0","8346","49","60401","55951","43","Master(15)/iD(5)/交通系IC(15)/JCB(6)/選択なし(1)/QUICPay(1)","52883","Master(22156)/iD(4693)/交通系IC(16723)/JCB(7167)/選択なし(1572)/QUICPay(572)","48987","Master(20524)/iD(4347)/交通系IC(15491)/JCB(6639)/選択なし(1456)/QUICPay(530)","0","","0","","0","","1","188","174","0","0","0","","0","0","0","0","0","0","0","92","0","0","1231","1","1230","1141","1","1139","0"
"03/20(日)","91","92012","53","91959","85228","53","85175","0","6784","0","6784","51","46946","43485","40","Master(15)/交通系IC(16)/iD(5)/QUICPay(2)/JCB(2)","45066","Master(20272)/交通系IC(16227)/iD(4041)/QUICPay(2141)/JCB(2385)","41743","Master(18777)/交通系IC(15031)/iD(3743)/QUICPay(1983)/JCB(2209)","0","","0","","0","","1","88","81","0","0","0","","0","0","0","0","0","0","0","91","0","0","1011","1","1011","937","1","936","0"
"03/21(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/22(火)","36","41839","41","41798","38748","41","38707","0","3091","0","3091","19","20214","18721","17","Master(5)/交通系IC(5)/JCB(3)/QUICPay(2)/iD(2)","21625","Master(6442)/交通系IC(8898)/JCB(3274)/QUICPay(1062)/iD(1949)","20028","Master(5966)/交通系IC(8241)/JCB(3032)/QUICPay(984)/iD(1805)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","36","0","0","1162","1","1161","1076","1","1075","0"
"03/23(水)","58","53644","36","53608","49689","36","49653","0","3955","0","3955","31","25558","23674","27","交通系IC(10)/JCB(4)/Master(12)/iD(1)","28086","交通系IC(7659)/JCB(3644)/Master(16200)/iD(583)","26015","交通系IC(7094)/JCB(3375)/Master(15006)/iD(540)","0","","0","","0","","1","78","72","0","0","0","","0","0","0","0","0","0","0","58","0","0","925","1","924","857","1","856","0"
"03/24(木)","59","54275","64","54211","50273","64","50209","0","4002","0","4002","32","24220","22434","27","JCB(5)/Master(7)/交通系IC(12)/iD(2)/QUICPay(1)","30055","JCB(5841)/Master(13030)/交通系IC(9437)/iD(854)/QUICPay(893)","27838","JCB(5410)/Master(12069)/交通系IC(8741)/iD(791)/QUICPay(827)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","59","0","0","920","1","919","852","1","851","0"
"03/25(金)","61","55666","53","55613","51566","53","51513","0","4100","0","4100","42","39568","36654","19","JCB(2)/選択なし(1)/交通系IC(8)/Master(6)/iD(2)","16098","JCB(983)/選択なし(788)/交通系IC(7075)/Master(6150)/iD(1102)","14913","JCB(911)/選択なし(730)/交通系IC(6554)/Master(5697)/iD(1021)","0","","0","","0","","1","58","54","0","0","0","","0","0","0","0","0","0","0","61","0","0","913","1","912","845","1","844","0"
"03/26(土)","87","91034","83","90951","84323","83","84240","0","6711","0","6711","49","49997","46311","38","交通系IC(16)/Master(14)/選択なし(3)/iD(2)/JCB(2)/QUICPay(1)","41037","交通系IC(17481)/Master(14736)/選択なし(4425)/iD(1209)/JCB(1533)/QUICPay(1653)","38012","交通系IC(16192)/Master(13650)/選択なし(4099)/iD(1120)/JCB(1420)/QUICPay(1531)","0","","0","","0","","2","218","202","0","0","0","","0","0","0","0","0","0","0","87","0","0","1046","1","1045","969","1","968","0"
"03/27(日)","101","100820","88","100732","93386","88","93298","0","7434","0","7434","58","60723","56246","43","Master(18)/QUICPay(1)/交通系IC(16)/iD(5)/WAON(1)/JCB(2)","40097","Master(20315)/QUICPay(216)/交通系IC(12988)/iD(4773)/WAON(356)/JCB(1449)","37140","Master(18817)/QUICPay(200)/交通系IC(12030)/iD(4421)/WAON(330)/JCB(1342)","0","","0","","0","","1","211","195","0","0","0","","0","0","0","0","0","0","0","101","0","0","998","1","997","925","1","924","0"
"03/28(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/29(火)","85","79391","113","79278","73544","113","73431","0","5847","0","5847","53","46533","43106","32","QUICPay(3)/交通系IC(12)/Master(10)/iD(5)/選択なし(1)/JCB(1)","32858","QUICPay(724)/交通系IC(12526)/Master(12405)/iD(5522)/選択なし(903)/JCB(778)","30438","QUICPay(671)/交通系IC(11603)/Master(11491)/iD(5115)/選択なし(837)/JCB(721)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","85","0","0","934","1","933","865","1","864","0"
"03/30(水)","65","56700","64","56636","52525","64","52461","0","4175","0","4175","37","32685","30278","28","QUICPay(1)/Master(10)/交通系IC(12)/JCB(3)/選択なし(1)/WAON(1)","24015","QUICPay(1120)/Master(9649)/交通系IC(9540)/JCB(2301)/選択なし(821)/WAON(584)","22249","QUICPay(1038)/Master(8939)/交通系IC(8838)/JCB(2132)/選択なし(761)/WAON(541)","0","","0","","0","","2","470","435","0","0","0","","0","0","0","0","0","0","0","65","0","0","872","1","871","808","1","807","0"
"03/31(木)","64","61188","60","61128","56675","60","56615","0","4513","0","4513","32","34218","31694","32","交通系IC(13)/JCB(7)/Master(11)/iD(1)","26970","交通系IC(8229)/JCB(5815)/Master(11932)/iD(994)","24981","交通系IC(7622)/JCB(5386)/Master(11052)/iD(921)","0","","0","","0","","2","467","433","0","0","0","","0","0","0","0","0","0","0","64","0","0","956","1","955","886","1","885","0"
"合計","1848","1849623","1634","1847989","1713265","1634","1711631","0","136358","0","136358","1080","1046559","969405","769","JCB(84)/交通系IC(309)/選択なし(23)/Master(257)/iD(73)/WAON(5)/QUICPay(18)","803064","JCB(81140)/交通系IC(277406)/選択なし(28848)/Master(333089)/iD(66557)/WAON(4284)/QUICPay(11740)","743859","JCB(75159)/交通系IC(256953)/選択なし(26721)/Master(308533)/iD(61649)/WAON(3969)/QUICPay(10875)","0","","0","","0","","25","5025","4652","0","0","0","","0","0","0","0","0","0","0","1848","0","0","1001","1","1000","927","1","926","0"
