"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税込・10%対象)","客単価(税込・8%対象)","客単価(税抜)","客単価(税抜・10%対象)","客単価(税抜・8%対象)","過不足"
"05/1(日)","61","66011","43","65968","61111","43","61068","0","4900","0","4900","31","30810","28523","31","Master(9)/WAON(2)/交通系IC(16)/iD(2)/選択なし(1)/JCB(1)","35201","Master(12427)/WAON(1538)/交通系IC(17107)/iD(1622)/選択なし(1961)/JCB(546)","32588","Master(11505)/WAON(1424)/交通系IC(15837)/iD(1502)/選択なし(1815)/JCB(505)","0","","0","","0","","1","57","53","0","0","0","","0","0","0","0","0","0","0","61","0","0","1082","1","1081","1002","1","1001","0"
"05/2(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05/3(火)","96","98066","85","97981","90795","85","90710","0","7271","0","7271","47","40095","37122","49","Master(19)/交通系IC(20)/iD(6)/選択なし(1)/JCB(3)","57971","Master(28977)/交通系IC(17382)/iD(6062)/選択なし(1608)/JCB(3942)","53674","Master(26829)/交通系IC(16093)/iD(5613)/選択なし(1489)/JCB(3650)","0","","0","","0","","1","175","162","0","0","0","","0","0","0","0","0","0","0","96","0","0","1022","1","1021","946","1","945","0"
"05/4(水)","83","86149","73","86076","79757","73","79684","0","6392","0","6392","46","50034","46322","37","QUICPay(1)/iD(4)/Master(14)/交通系IC(16)/選択なし(1)/JCB(1)","36115","QUICPay(583)/iD(2713)/Master(15851)/交通系IC(15352)/選択なし(356)/JCB(1260)","33437","QUICPay(540)/iD(2512)/Master(14675)/交通系IC(14213)/選択なし(330)/JCB(1167)","0","","0","","0","","1","175","162","0","0","0","","0","0","0","0","0","0","0","83","0","0","1038","1","1037","961","1","960","0"
"05/5(木)","82","86896","73","86823","80457","73","80384","0","6439","0","6439","53","59147","54764","29","JCB(6)/iD(5)/交通系IC(13)/Master(5)","27749","JCB(4782)/iD(6437)/交通系IC(11985)/Master(4545)","25693","JCB(4428)/iD(5960)/交通系IC(11097)/Master(4208)","0","","0","","0","","2","418","387","0","0","0","","0","0","0","0","0","0","0","82","0","0","1060","1","1059","981","1","980","0"
"05/6(金)","42","40369","40","40329","37380","40","37340","0","2989","0","2989","27","27091","25085","15","交通系IC(7)/JCB(2)/iD(1)/Master(5)","13278","交通系IC(6849)/JCB(1117)/iD(681)/Master(4631)","12295","交通系IC(6342)/JCB(1034)/iD(631)/Master(4288)","0","","0","","0","","2","563","521","0","0","0","","0","0","0","0","0","0","0","42","0","0","961","1","960","890","1","889","0"
"05/7(土)","78","88800","90","88710","82215","90","82125","0","6585","0","6585","46","48278","44698","32","QUICPay(3)/交通系IC(14)/Master(10)/iD(3)/JCB(2)","40522","QUICPay(3501)/交通系IC(13995)/Master(16187)/iD(4132)/JCB(2707)","37517","QUICPay(3241)/交通系IC(12957)/Master(14987)/iD(3826)/JCB(2506)","0","","0","","0","","2","389","360","0","0","0","","0","0","0","0","0","0","0","78","0","0","1138","1","1137","1054","1","1053","0"
"05/8(日)","92","91208","89","91119","84437","89","84348","0","6771","0","6771","52","50065","46348","40","交通系IC(14)/Master(13)/選択なし(2)/iD(4)/JCB(6)/QUICPay(1)","41143","交通系IC(11035)/Master(15004)/選択なし(2074)/iD(4030)/JCB(8568)/QUICPay(432)","38089","交通系IC(10216)/Master(13890)/選択なし(1920)/iD(3731)/JCB(7932)/QUICPay(400)","0","","0","","0","","1","998","924","0","0","0","","0","0","0","0","0","0","0","92","0","0","991","1","990","918","1","917","0"
"05/9(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05/10(火)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05/11(水)","75","64784","41","64743","59976","41","59935","0","4808","0","4808","41","32990","30542","34","交通系IC(14)/Master(9)/iD(7)/QUICPay(1)/JCB(3)","31794","交通系IC(10615)/Master(11710)/iD(4375)/QUICPay(1420)/JCB(3674)","29434","交通系IC(9827)/Master(10841)/iD(4050)/QUICPay(1315)/JCB(3401)","0","","0","","0","","2","216","200","0","0","0","","0","0","0","0","0","0","0","75","0","0","864","1","863","800","1","799","0"
"05/12(木)","56","40772","39","40733","37742","39","37703","0","3030","0","3030","38","29410","27224","18","Master(4)/交通系IC(11)/JCB(1)/iD(2)","11362","Master(3229)/交通系IC(6945)/JCB(335)/iD(853)","10518","Master(2989)/交通系IC(6429)/JCB(310)/iD(790)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","56","0","0","728","1","727","674","1","673","0"
"05/13(金)","27","25760","24","25736","23845","24","23821","0","1915","0","1915","17","15609","14449","10","選択なし(1)/JCB(2)/交通系IC(4)/Master(2)/iD(1)","10151","選択なし(1514)/JCB(1277)/交通系IC(2641)/Master(2470)/iD(2249)","9396","選択なし(1401)/JCB(1182)/交通系IC(2445)/Master(2286)/iD(2082)","0","","0","","0","","2","295","273","0","0","0","","0","0","0","0","0","0","0","27","0","0","954","1","953","883","1","882","0"
