"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税抜)","過不足"
"08/17(火)","62","61712","45","61667","57153","45","57108","0","4559","0","4559","45","44804","41494","17","MASTER(4)/交通系IC(8)/iD(2)/JCB(3)","16908","MASTER(6213)/交通系IC(6305)/iD(1621)/JCB(2769)","15658","MASTER(5754)/交通系IC(5839)/iD(1501)/JCB(2564)","0","","0","","0","","2","422","391","0","0","0","","0","0","0","0","0","0","0","62","0","0","995","922","0"
"08/18(水)","54","50165","52","50113","46464","52","46412","0","3701","0","3701","38","35734","33098","16","交通系IC(7)/JCB(2)/MASTER(4)/iD(2)/選択なし(1)","14431","交通系IC(4649)/JCB(2269)/MASTER(4298)/iD(1086)/選択なし(2129)","13367","交通系IC(4306)/JCB(2102)/MASTER(3981)/iD(1006)/選択なし(1972)","0","","0","","0","","1","272","252","0","0","0","","0","0","0","0","0","0","0","54","0","0","929","860","0"
"08/19(木)","58","46965","43","46922","43500","43","43457","0","3465","0","3465","39","29675","27486","19","JCB(3)/MASTER(3)/交通系IC(12)/iD(1)","17290","JCB(3071)/MASTER(4182)/交通系IC(8502)/iD(1535)","16014","JCB(2844)/MASTER(3873)/交通系IC(7875)/iD(1422)","0","","0","","0","","1","391","362","0","0","0","","0","0","0","0","0","0","0","58","0","0","810","750","0"
"08/20(金)","73","68083","50","68033","63054","50","63004","0","5029","0","5029","47","36926","34198","26","選択なし(3)/交通系IC(8)/MASTER(7)/iD(3)/JCB(4)/QUICPay(1)","31157","選択なし(3342)/交通系IC(5238)/MASTER(8630)/iD(5427)/JCB(6986)/QUICPay(1534)","28856","選択なし(3095)/交通系IC(4851)/MASTER(7993)/iD(5026)/JCB(6470)/QUICPay(1421)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","73","0","0","933","864","0"
"08/21(土)","81","85611","69","85542","79294","69","79225","0","6317","0","6317","48","51502","47702","33","MASTER(11)/交通系IC(15)/iD(5)/WAON(1)/選択なし(1)","34109","MASTER(13303)/交通系IC(12243)/iD(6159)/WAON(1107)/選択なし(1297)","31592","MASTER(12321)/交通系IC(11340)/iD(5705)/WAON(1025)/選択なし(1201)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","81","0","0","1057","979","0"
"08/22(日)","70","84974","53","84921","78706","53","78653","0","6268","0","6268","47","58472","54159","23","交通系IC(9)/MASTER(8)/QUICPay(1)/JCB(2)/iD(2)/選択なし(1)","26502","交通系IC(5146)/MASTER(12547)/QUICPay(658)/JCB(3615)/iD(2386)/選択なし(2150)","24545","交通系IC(4766)/MASTER(11621)/QUICPay(609)/JCB(3348)/iD(2210)/選択なし(1991)","0","","0","","0","","2","343","318","0","0","0","","0","0","0","0","0","0","0","70","0","0","1214","1124","0"
"08/23(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08/24(火)","48","42536","36","42500","39395","36","39359","0","3141","0","3141","28","21329","19754","20","交通系IC(7)/JCB(3)/iD(2)/MASTER(8)","21207","交通系IC(6532)/JCB(3892)/iD(1574)/MASTER(9209)","19642","交通系IC(6050)/JCB(3605)/iD(1458)/MASTER(8529)","0","","0","","0","","1","338","313","0","0","0","","0","0","0","0","0","0","0","48","0","0","886","821","0"
"08/25(水)","43","39537","50","39487","36623","50","36573","0","2914","0","2914","22","19507","18069","21","交通系IC(11)/MASTER(4)/iD(4)/JCB(2)","20030","交通系IC(9094)/MASTER(6299)/iD(3120)/JCB(1517)","18554","交通系IC(8424)/MASTER(5835)/iD(2890)/JCB(1405)","0","","0","","0","","2","609","564","0","0","0","","0","0","0","0","0","0","0","43","0","0","919","852","0"
"08/26(木)","43","40626","36","40590","37634","36","37598","0","2992","0","2992","26","25970","24057","17","JCB(4)/交通系IC(9)/iD(1)/MASTER(2)/選択なし(1)","14656","JCB(5326)/交通系IC(5839)/iD(551)/MASTER(2173)/選択なし(767)","13577","JCB(4934)/交通系IC(5409)/iD(510)/MASTER(2013)/選択なし(711)","0","","0","","0","","1","302","280","0","0","0","","0","0","0","0","0","0","0","43","0","0","945","875","0"
"08/27(金)","41","42727","34","42693","39573","34","39539","0","3154","0","3154","20","17905","16583","21","iD(2)/WAON(1)/交通系IC(9)/JCB(3)/MASTER(4)/QUICPay(2)","24822","iD(2845)/WAON(971)/交通系IC(8407)/JCB(3183)/MASTER(7163)/QUICPay(2253)","22989","iD(2635)/WAON(899)/交通系IC(7786)/JCB(2948)/MASTER(6634)/QUICPay(2087)","0","","0","","0","","1","233","216","0","0","0","","0","0","0","0","0","0","0","41","0","0","1042","965","0"
"08/28(土)","66","78878","73","78805","73056","73","72983","0","5822","0","5822","37","42904","39737","29","交通系IC(14)/MASTER(11)/iD(2)/JCB(1)/選択なし(1)","35974","交通系IC(17716)/MASTER(12549)/iD(3461)/JCB(249)/選択なし(1999)","33319","交通系IC(16408)/MASTER(11623)/iD(3206)/JCB(231)/選択なし(1851)","0","","0","","0","","1","175","162","0","0","0","","0","0","0","0","0","0","0","66","0","0","1195","1107","0"
"08/29(日)","70","75006","346","74660","69459","319","69140","0","5547","27","5520","35","34431","31885","35","QUICPay(3)/iD(3)/交通系IC(13)/MASTER(9)/JCB(5)/選択なし(2)","40575","QUICPay(4056)/iD(2400)/交通系IC(13115)/MASTER(11559)/JCB(6252)/選択なし(3193)","37575","QUICPay(3756)/iD(2223)/交通系IC(12145)/MASTER(10704)/JCB(5790)/選択なし(2957)","0","","0","","0","","2","622","576","0","0","0","","0","0","0","0","0","0","0","70","0","0","1072","992","0"
"08/30(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08/31(火)","54","47198","44","47154","43715","44","43671","0","3483","0","3483","32","22811","21128","22","JCB(3)/交通系IC(12)/iD(3)/WAON(1)/MASTER(3)","24387","JCB(4962)/交通系IC(12270)/iD(2729)/WAON(698)/MASTER(3728)","22588","JCB(4596)/交通系IC(11365)/iD(2528)/WAON(646)/MASTER(3453)","0","","0","","0","","1","159","147","0","0","0","","0","0","0","0","0","0","0","54","0","0","874","810","0"
"合計","1285","1321782","1367","1320415","1224240","1340","1222900","0","97542","27","97515","789","768900","712159","496","iD(57)/選択なし(19)/MASTER(136)/交通系IC(217)/JCB(52)/WAON(5)/QUICPay(10)","552882","iD(61129)/選択なし(29344)/MASTER(196066)/交通系IC(181319)/JCB(67315)/WAON(6506)/QUICPay(11203)","512078","iD(56619)/選択なし(27178)/MASTER(181595)/交通系IC(167939)/JCB(62347)/WAON(6025)/QUICPay(10375)","0","","0","","0","","27","7703","7133","0","0","0","","0","0","0","0","0","0","0","1285","0","0","1029","953","0"
