"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税抜)","過不足"
"11/1(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11/2(火)","75","62715","46","62669","58091","46","58045","0","4624","0","4624","50","40184","37221","25","MASTER(10)/JCB(5)/選択なし(1)/交通系IC(5)/iD(4)","22531","MASTER(11369)/JCB(4077)/選択なし(648)/交通系IC(3228)/iD(3209)","20869","MASTER(10531)/JCB(3776)/選択なし(600)/交通系IC(2990)/iD(2972)","0","","0","","0","","3","669","620","0","0","0","","0","0","0","0","0","0","0","75","0","0","836","775","0"
"11/3(水)","88","80182","66","80116","74262","66","74196","0","5920","0","5920","54","43051","39872","34","JCB(5)/交通系IC(16)/MASTER(6)/選択なし(2)/iD(5)","37131","JCB(5162)/交通系IC(14334)/MASTER(8783)/選択なし(2950)/iD(5902)","34390","JCB(4781)/交通系IC(13276)/MASTER(8135)/選択なし(2732)/iD(5466)","0","","0","","0","","2","225","208","0","0","0","","0","0","0","0","0","0","0","88","0","0","911","844","0"
"11/4(木)","53","51499","45","51454","47695","45","47650","0","3804","0","3804","35","32833","30408","18","交通系IC(8)/MASTER(2)/iD(4)/JCB(4)","18666","交通系IC(6495)/MASTER(4728)/iD(4176)/JCB(3267)","17288","交通系IC(6015)/MASTER(4379)/iD(3868)/JCB(3026)","0","","0","","0","","2","354","327","0","0","0","","0","0","0","0","0","0","0","53","0","0","972","900","0"
"11/5(金)","66","58707","53","58654","54376","53","54323","0","4331","0","4331","40","28876","26746","26","QUICPay(1)/JCB(3)/MASTER(11)/選択なし(2)/交通系IC(8)/iD(1)","29831","QUICPay(1697)/JCB(2440)/MASTER(13143)/選択なし(2231)/交通系IC(9657)/iD(663)","27630","QUICPay(1572)/JCB(2260)/MASTER(12173)/選択なし(2066)/交通系IC(8945)/iD(614)","0","","0","","0","","2","337","312","0","0","0","","0","0","0","0","0","0","0","66","0","0","890","824","0"
"11/6(土)","101","104936","95","104841","97191","95","97096","0","7745","0","7745","66","64529","59766","35","iD(5)/MASTER(9)/交通系IC(17)/JCB(2)/選択なし(2)","40407","iD(3526)/MASTER(13525)/交通系IC(18022)/JCB(2118)/選択なし(3216)","37426","iD(3266)/MASTER(12527)/交通系IC(16692)/JCB(1962)/選択なし(2979)","0","","0","","0","","2","761","706","0","0","0","","0","0","0","0","0","0","0","101","0","0","1039","962","0"
"11/7(日)","91","91690","57","91633","84923","57","84866","0","6767","0","6767","53","57366","53132","38","交通系IC(16)/MASTER(7)/JCB(5)/iD(7)/QUICPay(3)","34324","交通系IC(13706)/MASTER(5764)/JCB(5333)/iD(7425)/QUICPay(2096)","31790","交通系IC(12694)/MASTER(5339)/JCB(4939)/iD(6877)/QUICPay(1941)","0","","0","","0","","1","243","225","0","0","0","","0","0","0","0","0","0","0","91","0","0","1008","933","0"
"11/8(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11/9(火)","37","34880","35","34845","32309","35","32274","0","2571","0","2571","25","20017","18542","12","JCB(2)/iD(3)/MASTER(3)/交通系IC(4)","14863","JCB(4824)/iD(2984)/MASTER(2620)/交通系IC(4435)","13767","JCB(4468)/iD(2764)/MASTER(2427)/交通系IC(4108)","0","","0","","0","","2","510","472","0","0","0","","0","0","0","0","0","0","0","37","0","0","943","873","0"
"11/10(水)","62","51642","48","51594","47837","48","47789","0","3805","0","3805","40","33923","31424","22","交通系IC(10)/MASTER(8)/JCB(1)/選択なし(1)/QUICPay(1)/iD(1)","17719","交通系IC(6962)/MASTER(6661)/JCB(862)/選択なし(1449)/QUICPay(1071)/iD(714)","16412","交通系IC(6449)/MASTER(6170)/JCB(798)/選択なし(1342)/QUICPay(992)/iD(661)","0","","0","","0","","2","375","347","0","0","0","","0","0","0","0","0","0","0","62","0","0","833","772","0"
