"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税抜)","過不足"
"07/1(木)","38","33562","24","33538","31088","24","31064","0","2474","0","2474","26","23431","21704","12","交通系IC(7)/MASTER(2)/選択なし(1)/WAON(1)/JCB(1)","10131","交通系IC(4834)/MASTER(2724)/選択なし(1670)/WAON(362)/JCB(541)","9384","交通系IC(4478)/MASTER(2523)/選択なし(1547)/WAON(335)/JCB(501)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","38","0","0","883","818","0"
"07/2(金)","44","34706","40","34666","32143","40","32103","0","2563","0","2563","25","19414","17980","19","交通系IC(11)/JCB(2)/MASTER(4)/選択なし(1)/iD(1)","15292","交通系IC(7473)/JCB(2135)/MASTER(3241)/選択なし(1352)/iD(1091)","14162","交通系IC(6921)/JCB(1977)/MASTER(3002)/選択なし(1252)/iD(1010)","0","","0","","0","","1","230","214","0","0","0","","0","0","0","0","0","0","0","44","0","0","789","731","0"
"07/3(土)","84","84215","56","84159","78004","56","77948","0","6211","0","6211","51","48486","44910","33","iD(7)/交通系IC(12)/MASTER(8)/選択なし(1)/JCB(5)","35729","iD(7180)/交通系IC(10833)/MASTER(10681)/選択なし(859)/JCB(6176)","33094","iD(6650)/交通系IC(10034)/MASTER(9893)/選択なし(796)/JCB(5721)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","84","0","0","1003","929","0"
"07/4(日)","107","96162","86","96076","89069","86","88983","0","7093","0","7093","75","65279","60464","32","JCB(2)/交通系IC(16)/iD(2)/選択なし(1)/MASTER(7)/QUICPay(2)/WAON(2)","30883","JCB(1157)/交通系IC(12392)/iD(712)/選択なし(768)/MASTER(9314)/QUICPay(2442)/WAON(4098)","28605","JCB(1072)/交通系IC(11478)/iD(659)/選択なし(711)/MASTER(8627)/QUICPay(2262)/WAON(3796)","0","","0","","0","","1","162","150","0","0","0","","0","0","0","0","0","0","0","107","0","0","899","832","0"
"07/5(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07/6(火)","79","68577","53","68524","63516","53","63463","0","5061","0","5061","57","50535","46806","22","MASTER(9)/交通系IC(6)/iD(3)/選択なし(1)/JCB(3)","18042","MASTER(7313)/交通系IC(3407)/iD(2193)/選択なし(1579)/JCB(3550)","16710","MASTER(6773)/交通系IC(3156)/iD(2031)/選択なし(1462)/JCB(3288)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","79","0","0","868","804","0"
"07/7(水)","58","42881","38","42843","39720","38","39682","0","3161","0","3161","44","33733","31246","14","JCB(3)/交通系IC(7)/MASTER(3)/iD(1)","9148","JCB(1460)/交通系IC(4117)/MASTER(3027)/iD(544)","8474","JCB(1352)/交通系IC(3814)/MASTER(2804)/iD(504)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","58","0","0","739","685","0"
"07/8(木)","52","44618","41","44577","41324","41","41283","0","3294","0","3294","27","25541","23655","25","JCB(3)/交通系IC(14)/WAON(1)/MASTER(4)/QUICPay(1)/iD(2)","19077","JCB(1535)/交通系IC(10509)/WAON(530)/MASTER(4752)/QUICPay(465)/iD(1286)","17669","JCB(1422)/交通系IC(9733)/WAON(491)/MASTER(4401)/QUICPay(431)/iD(1191)","0","","0","","0","","1","269","249","0","0","0","","0","0","0","0","0","0","0","52","0","0","858","795","0"
"07/9(金)","50","44611","37","44574","41319","37","41282","0","3292","0","3292","31","22876","21188","19","交通系IC(8)/選択なし(1)/MASTER(6)/JCB(3)/iD(1)","21735","交通系IC(7822)/選択なし(1646)/MASTER(8116)/JCB(3362)/iD(789)","20132","交通系IC(7245)/選択なし(1525)/MASTER(7517)/JCB(3114)/iD(731)","0","","0","","0","","3","571","529","0","0","0","","0","0","0","0","0","0","0","50","0","0","892","826","0"
"07/10(土)","84","91205","73","91132","84479","73","84406","0","6726","0","6726","46","48262","44703","38","JCB(4)/交通系IC(16)/MASTER(12)/iD(4)/選択なし(1)/QUICPay(1)","42943","JCB(5047)/交通系IC(14234)/MASTER(14893)/iD(4740)/選択なし(2376)/QUICPay(1653)","39776","JCB(4675)/交通系IC(13184)/MASTER(13795)/iD(4390)/選択なし(2201)/QUICPay(1531)","0","","0","","0","","1","269","249","0","0","0","","0","0","0","0","0","0","0","84","0","0","1086","1006","0"
