"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税抜)","過不足"
"03/1(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/2(火)","69","59747","45","59702","55335","45","55290","0","4412","0","4412","40","30869","28589","29","MASTER(9)/JCB(5)/交通系IC(11)/iD(4)","28878","MASTER(9979)/JCB(7405)/交通系IC(8464)/iD(3030)","26745","MASTER(9242)/JCB(6858)/交通系IC(7839)/iD(2806)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","69","0","0","866","802","0"
"03/3(水)","75","67596","64","67532","62609","64","62545","0","4987","0","4987","46","40172","37208","29","MASTER(8)/交通系IC(11)/iD(5)/QUICPay(3)/JCB(2)","27424","MASTER(5615)/交通系IC(8535)/iD(6284)/QUICPay(4334)/JCB(2656)","25400","MASTER(5201)/交通系IC(7905)/iD(5820)/QUICPay(4014)/JCB(2460)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","75","0","0","901","835","0"
"03/4(木)","69","62506","69","62437","57889","69","57820","0","4617","0","4617","52","44639","41342","17","MASTER(4)/交通系IC(5)/iD(2)/JCB(3)/WAON(3)","17867","MASTER(3994)/交通系IC(3910)/iD(1264)/JCB(6157)/WAON(2542)","16547","MASTER(3699)/交通系IC(3621)/iD(1171)/JCB(5702)/WAON(2354)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","69","0","0","906","839","0"
"03/5(金)","72","66820","24","66796","61879","24","61855","0","4941","0","4941","50","41198","38152","22","MASTER(7)/JCB(5)/iD(3)/交通系IC(6)/WAON(1)","25622","MASTER(6890)/JCB(5740)/iD(2299)/交通系IC(9765)/WAON(928)","23728","MASTER(6381)/JCB(5316)/iD(2129)/交通系IC(9043)/WAON(859)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","72","0","0","928","859","0"
"03/6(土)","107","104398","1264","103134","96666","1156","95510","0","7732","108","7624","72","61287","56748","35","交通系IC(14)/MASTER(12)/WAON(1)/JCB(5)/iD(2)/選択なし(1)","43111","交通系IC(12158)/MASTER(20931)/WAON(729)/JCB(6005)/iD(2769)/選択なし(519)","39919","交通系IC(11258)/MASTER(19381)/WAON(675)/JCB(5560)/iD(2564)/選択なし(481)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","107","0","0","976","903","0"
"03/7(日)","87","96677","62","96615","89542","62","89480","0","7135","0","7135","54","54534","50509","33","WAON(1)/iD(9)/交通系IC(12)/選択なし(2)/JCB(1)/MASTER(7)/QUICPay(1)","42143","WAON(939)/iD(8756)/交通系IC(18114)/選択なし(1773)/JCB(802)/MASTER(9913)/QUICPay(1846)","39033","WAON(870)/iD(8110)/交通系IC(16777)/選択なし(1642)/JCB(743)/MASTER(9181)/QUICPay(1710)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","87","0","0","1111","1029","0"
"03/8(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/9(火)","83","69533","36","69497","64391","36","64355","0","5142","0","5142","55","46871","43405","28","交通系IC(15)/MASTER(7)/iD(2)/JCB(4)","22662","交通系IC(10512)/MASTER(7582)/iD(1528)/JCB(3040)","20986","交通系IC(9735)/MASTER(7021)/iD(1415)/JCB(2815)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","83","0","0","838","776","0"
"03/10(水)","67","57599","22","57577","53342","22","53320","0","4257","0","4257","49","42861","39693","18","MASTER(5)/JCB(2)/交通系IC(8)/WAON(1)/iD(2)","14738","MASTER(5150)/JCB(2446)/交通系IC(4545)/WAON(1463)/iD(1134)","13648","MASTER(4769)/JCB(2265)/交通系IC(4209)/WAON(1355)/iD(1050)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","67","0","0","860","796","0"
"03/11(木)","85","74702","74","74628","69184","74","69110","0","5518","0","5518","57","50652","46911","28","MASTER(10)/交通系IC(11)/JCB(2)/選択なし(1)/iD(3)/QUICPay(1)","24050","MASTER(9276)/交通系IC(6866)/JCB(3207)/選択なし(1609)/iD(1901)/QUICPay(1191)","22274","MASTER(8591)/交通系IC(6359)/JCB(2970)/選択なし(1490)/iD(1761)/QUICPay(1103)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","85","0","0","879","814","0"
"03/12(金)","85","87536","67","87469","81077","67","81010","0","6459","0","6459","63","62120","57536","22","MASTER(11)/交通系IC(8)/JCB(1)/QUICPay(1)/iD(1)","25416","MASTER(13972)/交通系IC(6636)/JCB(1926)/QUICPay(1576)/iD(1306)","23541","MASTER(12941)/交通系IC(6146)/JCB(1784)/QUICPay(1460)/iD(1210)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","85","0","0","1030","954","0"
"03/13(土)","57","59236","57","59179","54852","57","54795","0","4384","0","4384","38","36238","33556","19","交通系IC(5)/WAON(1)/iD(3)/MASTER(8)/JCB(1)/QUICPay(1)","22998","交通系IC(6147)/WAON(778)/iD(2462)/MASTER(10792)/JCB(1884)/QUICPay(935)","21296","交通系IC(5692)/WAON(720)/iD(2280)/MASTER(9993)/JCB(1745)/QUICPay(866)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","57","0","0","1039","962","0"
"03/14(日)","123","121711","78","121633","112718","78","112640","0","8993","0","8993","91","89458","82848","32","交通系IC(13)/iD(5)/WAON(1)/MASTER(9)/JCB(3)/選択なし(1)","32253","交通系IC(11909)/iD(3932)/WAON(216)/MASTER(10005)/JCB(3954)/選択なし(2237)","29870","交通系IC(11029)/iD(3641)/WAON(200)/MASTER(9266)/JCB(3662)/選択なし(2072)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","123","0","0","990","916","0"
"03/15(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/16(火)","98","88657","1298","87359","82090","1190","80900","0","6567","108","6459","70","64754","59958","28","交通系IC(14)/iD(3)/JCB(3)/MASTER(8)","23903","交通系IC(10242)/iD(2528)/JCB(2701)/MASTER(8432)","22132","交通系IC(9483)/iD(2341)/JCB(2501)/MASTER(7807)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","98","0","0","905","838","0"
"03/17(水)","72","65471","38","65433","60633","38","60595","0","4838","0","4838","51","46084","42679","21","交通系IC(10)/MASTER(8)/iD(3)","19387","交通系IC(7657)/MASTER(9297)/iD(2433)","17954","交通系IC(7091)/MASTER(8610)/iD(2253)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","72","0","0","909","842","0"
"03/18(木)","82","74542","1264","73278","69016","1156","67860","0","5526","108","5418","57","44818","41496","25","iD(4)/MASTER(3)/JCB(5)/交通系IC(11)/選択なし(1)/QUICPay(1)","29724","iD(4317)/MASTER(1981)/JCB(6450)/交通系IC(14251)/選択なし(1469)/QUICPay(1256)","27521","iD(3997)/MASTER(1834)/JCB(5972)/交通系IC(13195)/選択なし(1360)/QUICPay(1163)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","82","0","0","909","842","0"
"03/19(金)","98","95577","1249","94328","88499","1141","87358","0","7078","108","6970","63","63304","58616","35","交通系IC(15)/MASTER(8)/WAON(2)/JCB(6)/iD(2)/選択なし(1)/QUICPay(1)","32273","交通系IC(11161)/MASTER(9143)/WAON(2715)/JCB(5442)/iD(1145)/選択なし(1349)/QUICPay(1318)","29882","交通系IC(10334)/MASTER(8466)/WAON(2514)/JCB(5039)/iD(1060)/選択なし(1249)/QUICPay(1220)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","98","0","0","975","903","0"
"03/20(土)","124","121132","83","121049","112183","83","112100","0","8949","0","8949","78","74441","68941","46","MASTER(8)/交通系IC(24)/JCB(6)/iD(5)/選択なし(1)/WAON(1)/QUICPay(1)","46691","MASTER(8655)/交通系IC(21725)/JCB(8126)/iD(3791)/選択なし(2140)/WAON(727)/QUICPay(1527)","43242","MASTER(8016)/交通系IC(20120)/JCB(7526)/iD(3511)/選択なし(1982)/WAON(673)/QUICPay(1414)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","124","0","0","977","905","0"
"03/21(日)","31","32361","26","32335","29971","26","29945","0","2390","0","2390","23","24173","22388","8","MASTER(2)/QUICPay(1)/JCB(1)/交通系IC(3)/iD(1)","8188","MASTER(1979)/QUICPay(1679)/JCB(1280)/交通系IC(2170)/iD(1080)","7583","MASTER(1833)/QUICPay(1555)/JCB(1185)/交通系IC(2010)/iD(1000)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","31","0","0","1044","967","0"
