"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税込・10%対象)","客単価(税込・8%対象)","客単価(税抜)","客単価(税抜・10%対象)","客単価(税抜・8%対象)","過不足"
"06/1(水)","47","42228","23","42205","39100","23","39077","0","3128","0","3128","25","20699","19166","22","交通系IC(8)/QUICPay(1)/Master(11)/iD(1)/JCB(1)","21529","交通系IC(7094)/QUICPay(457)/Master(12953)/iD(506)/JCB(519)","19936","交通系IC(6569)/QUICPay(423)/Master(11994)/iD(469)/JCB(481)","0","","0","","0","","2","326","302","0","0","0","","0","0","0","0","0","0","0","47","0","0","898","0","898","832","0","831","0"
"06/2(木)","57","43448","51","43397","40227","51","40176","0","3221","0","3221","33","26742","24759","24","交通系IC(11)/iD(2)/Master(9)/JCB(1)/選択なし(1)","16706","交通系IC(6234)/iD(1912)/Master(6856)/JCB(626)/選択なし(1078)","15468","交通系IC(5772)/iD(1770)/Master(6348)/JCB(580)/選択なし(998)","0","","0","","0","","1","39","36","0","0","0","","0","0","0","0","0","0","0","57","0","0","762","1","761","706","1","705","0"
"06/3(金)","58","44892","32","44860","41560","32","41528","0","3332","0","3332","35","28195","26102","23","Master(8)/交通系IC(10)/iD(3)/JCB(2)","16697","Master(6406)/交通系IC(7090)/iD(1902)/JCB(1299)","15459","Master(5931)/交通系IC(6564)/iD(1761)/JCB(1203)","0","","0","","0","","2","537","497","0","0","0","","0","0","0","0","0","0","0","58","0","0","774","1","773","717","1","716","0"
"06/4(土)","78","90505","73","90432","83795","73","83722","0","6710","0","6710","45","48057","44494","33","JCB(5)/交通系IC(7)/WAON(2)/QUICPay(2)/Master(12)/選択なし(1)/iD(4)","42448","JCB(5612)/交通系IC(6463)/WAON(3438)/QUICPay(2299)/Master(16588)/選択なし(2355)/iD(5693)","39301","JCB(5196)/交通系IC(5984)/WAON(3183)/QUICPay(2129)/Master(15358)/選択なし(2180)/iD(5271)","0","","0","","0","","1","172","159","0","0","0","","0","0","0","0","0","0","0","78","0","0","1160","1","1159","1074","1","1073","0"
"06/5(日)","75","80634","80","80554","74651","80","74571","0","5983","0","5983","44","42450","39300","31","交通系IC(9)/Master(11)/iD(6)/JCB(4)/選択なし(1)","38184","交通系IC(6635)/Master(15808)/iD(7127)/JCB(6200)/選択なし(2414)","35351","交通系IC(6143)/Master(14635)/iD(6598)/JCB(5740)/選択なし(2235)","0","","0","","0","","1","263","243","0","0","0","","0","0","0","0","0","0","0","75","0","0","1075","1","1074","995","1","994","0"
"06/6(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06/7(火)","66","60222","54","60168","55751","54","55697","0","4471","0","4471","39","37307","34537","27","選択なし(1)/iD(4)/交通系IC(12)/Master(7)/JCB(3)","22915","選択なし(962)/iD(2482)/交通系IC(7591)/Master(7628)/JCB(4252)","21214","選択なし(891)/iD(2298)/交通系IC(7027)/Master(7062)/JCB(3936)","0","","0","","0","","1","224","207","0","0","0","","0","0","0","0","0","0","0","66","0","0","912","1","912","845","1","844","0"
"06/8(水)","63","47956","32","47924","44401","32","44369","0","3555","0","3555","38","25461","23574","25","Master(10)/交通系IC(9)/JCB(3)/QUICPay(2)/iD(1)","22495","Master(9787)/交通系IC(5716)/JCB(3628)/QUICPay(2242)/iD(1122)","20827","Master(9061)/交通系IC(5292)/JCB(3359)/QUICPay(2076)/iD(1039)","0","","0","","0","","3","373","346","0","0","0","","0","0","0","0","0","0","0","63","0","0","761","1","761","705","1","704","0"
"06/9(木)","63","48751","24","48727","45127","24","45103","0","3624","0","3624","37","23914","22136","26","JCB(5)/交通系IC(8)/Master(8)/iD(3)/QUICPay(1)/選択なし(1)","24837","JCB(5685)/交通系IC(4753)/Master(7697)/iD(3248)/QUICPay(529)/選択なし(2925)","22992","JCB(5262)/交通系IC(4400)/Master(7125)/iD(3007)/QUICPay(490)/選択なし(2708)","0","","0","","0","","2","465","431","0","0","0","","0","0","0","0","0","0","0","63","0","0","774","0","773","716","0","716","0"
"06/10(金)","61","56525","58","56467","52334","58","52276","0","4191","0","4191","30","28310","26211","31","Master(13)/交通系IC(10)/選択なし(1)/iD(2)/JCB(3)/QUICPay(2)","28215","Master(13696)/交通系IC(6056)/選択なし(389)/iD(1864)/JCB(5767)/QUICPay(443)","26123","Master(12681)/交通系IC(5607)/選択なし(360)/iD(1726)/JCB(5339)/QUICPay(410)","0","","0","","0","","1","229","212","0","0","0","","0","0","0","0","0","0","0","61","0","0","927","1","926","858","1","857","0"
