"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税抜)","過不足"
"02/1(火)","78","69751","62","69689","64606","62","64544","0","5145","0","5145","45","38244","35423","33","選択なし(2)/QUICPay(3)/MASTER(10)/iD(5)/JCB(1)/交通系IC(12)","31507","選択なし(1148)/QUICPay(2791)/MASTER(13647)/iD(3221)/JCB(356)/交通系IC(10344)","29182","選択なし(1063)/QUICPay(2585)/MASTER(12640)/iD(2983)/JCB(330)/交通系IC(9581)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","78","0","0","894","828","0"
"02/2(水)","62","50158","34","50124","46455","34","46421","0","3703","0","3703","30","25834","23927","32","MASTER(10)/JCB(2)/iD(5)/交通系IC(14)/選択なし(1)","24324","MASTER(9359)/JCB(2334)/iD(3586)/交通系IC(8343)/選択なし(702)","22528","MASTER(8668)/JCB(2162)/iD(3321)/交通系IC(7727)/選択なし(650)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","62","0","0","809","749","0"
"02/3(木)","49","47919","38","47881","44382","38","44344","0","3537","0","3537","30","30630","28369","19","交通系IC(10)/JCB(2)/選択なし(1)/Master(5)/QUICPay(1)","17289","交通系IC(6094)/JCB(2895)/選択なし(1783)/Master(5237)/QUICPay(1280)","16012","交通系IC(5644)/JCB(2681)/選択なし(1651)/Master(4850)/QUICPay(1186)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","49","0","0","978","906","0"
"02/4(金)","53","60166","48","60118","55723","48","55675","0","4443","0","4443","31","35831","33185","22","交通系IC(11)/Master(8)/iD(1)/JCB(2)","24335","交通系IC(9040)/Master(13401)/iD(745)/JCB(1149)","22537","交通系IC(8372)/Master(12411)/iD(690)/JCB(1064)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","53","0","0","1135","1051","0"
"02/5(土)","101","106150","87","106063","98316","87","98229","0","7834","0","7834","54","50444","46721","47","選択なし(4)/iD(6)/交通系IC(12)/Master(17)/QUICPay(5)/JCB(3)","55706","選択なし(4469)/iD(4521)/交通系IC(8500)/Master(29982)/QUICPay(3920)/JCB(4314)","51595","選択なし(4139)/iD(4187)/交通系IC(7873)/Master(27769)/QUICPay(3631)/JCB(3996)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","101","0","0","1051","973","0"
"02/6(日)","96","100333","78","100255","92939","78","92861","0","7394","0","7394","49","45928","42543","47","交通系IC(25)/JCB(6)/iD(3)/Master(10)/QUICPay(1)/選択なし(2)","54405","交通系IC(24310)/JCB(5248)/iD(2506)/Master(18650)/QUICPay(684)/選択なし(3007)","50395","交通系IC(22518)/JCB(4861)/iD(2321)/Master(17276)/QUICPay(634)/選択なし(2785)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","96","0","0","1045","968","0"
"02/7(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"02/8(火)","66","62429","49","62380","57822","49","57773","0","4607","0","4607","36","33127","30682","30","交通系IC(10)/JCB(3)/Master(13)/QUICPay(1)/iD(3)","29302","交通系IC(5441)/JCB(4648)/Master(15635)/QUICPay(648)/iD(2930)","27139","交通系IC(5039)/JCB(4305)/Master(14481)/QUICPay(600)/iD(2714)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","66","0","0","946","876","0"
"02/9(水)","73","59047","52","58995","54687","52","54635","0","4360","0","4360","38","29682","27490","35","交通系IC(17)/Master(11)/JCB(1)/選択なし(1)/iD(4)/QUICPay(1)","29365","交通系IC(9705)/Master(13997)/JCB(1502)/選択なし(392)/iD(3474)/QUICPay(295)","27195","交通系IC(8988)/Master(12963)/JCB(1391)/選択なし(363)/iD(3217)/QUICPay(273)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","73","0","0","809","749","0"
"02/10(木)","41","41285","47","41238","38241","47","38194","0","3044","0","3044","28","29609","27426","13","JCB(4)/交通系IC(5)/Master(4)","11676","JCB(3763)/交通系IC(2794)/Master(5119)","10816","JCB(3486)/交通系IC(2588)/Master(4742)","0","","0","","0","","1","143","132","0","0","0","","0","0","0","0","0","0","0","41","0","0","1007","933","0"
