"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税抜)","過不足"
"04/1(木)","73","72303","61","72242","66966","61","66905","0","5337","0","5337","52","47902","44366","21","JCB(7)/MASTER(3)/交通系IC(8)/iD(2)/選択なし(1)","24401","JCB(10126)/MASTER(3507)/交通系IC(6427)/iD(918)/選択なし(3423)","22600","JCB(9379)/MASTER(3248)/交通系IC(5953)/iD(850)/選択なし(3170)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","73","0","0","990","917","0"
"04/2(金)","75","64704","48","64656","59923","48","59875","0","4781","0","4781","51","41264","38215","24","QUICPay(1)/選択なし(1)/MASTER(5)/JCB(3)/交通系IC(10)/WAON(1)/iD(3)","23440","QUICPay(432)/選択なし(1230)/MASTER(4678)/JCB(3402)/交通系IC(8204)/WAON(913)/iD(4581)","21709","QUICPay(400)/選択なし(1139)/MASTER(4332)/JCB(3151)/交通系IC(7598)/WAON(846)/iD(4243)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","75","0","0","863","799","0"
"04/3(土)","103","113280","98","113182","104918","98","104820","0","8362","0","8362","66","70386","65190","39","iD(3)/MASTER(14)/JCB(7)/交通系IC(9)/WAON(4)/選択なし(1)/QUICPay(1)","42894","iD(2132)/MASTER(21696)/JCB(6643)/交通系IC(6358)/WAON(3696)/選択なし(648)/QUICPay(1721)","39728","iD(1975)/MASTER(20094)/JCB(6153)/交通系IC(5889)/WAON(3423)/選択なし(600)/QUICPay(1594)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","103","0","0","1100","1019","0"
"04/4(日)","98","99533","70","99463","92190","70","92120","0","7343","0","7343","66","55952","51824","32","iD(3)/交通系IC(14)/JCB(6)/MASTER(5)/選択なし(3)/QUICPay(1)","43581","iD(2573)/交通系IC(17520)/JCB(8162)/MASTER(5096)/選択なし(8686)/QUICPay(1544)","40365","iD(2383)/交通系IC(16227)/JCB(7560)/MASTER(4720)/選択なし(8045)/QUICPay(1430)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","98","0","0","1016","941","0"
"04/5(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04/6(火)","95","80941","52","80889","74967","52","74915","0","5974","0","5974","61","53113","49193","34","MASTER(8)/WAON(1)/交通系IC(16)/選択なし(2)/QUICPay(1)/JCB(3)/iD(3)","27828","MASTER(5893)/WAON(356)/交通系IC(12469)/選択なし(3547)/QUICPay(713)/JCB(2679)/iD(2171)","25774","MASTER(5458)/WAON(330)/交通系IC(11549)/選択なし(3285)/QUICPay(660)/JCB(2481)/iD(2011)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","95","0","0","852","789","0"
"04/7(水)","77","70889","58","70831","65659","58","65601","0","5230","0","5230","44","32676","30265","33","MASTER(12)/WAON(1)/交通系IC(14)/JCB(3)/iD(2)/QUICPay(1)","38213","MASTER(15119)/WAON(821)/交通系IC(14999)/JCB(4541)/iD(1567)/QUICPay(1166)","35393","MASTER(14004)/WAON(760)/交通系IC(13892)/JCB(4206)/iD(1451)/QUICPay(1080)","0","","0","","0","","1","285","264","0","0","0","","0","0","0","0","0","0","0","77","0","0","921","853","0"
"04/8(木)","85","81275","76","81199","75279","76","75203","0","5996","0","5996","61","60524","56059","24","交通系IC(12)/MASTER(8)/WAON(1)/iD(3)","20751","交通系IC(11007)/MASTER(6186)/WAON(691)/iD(2867)","19220","交通系IC(10195)/MASTER(5730)/WAON(640)/iD(2655)","0","","0","","0","","1","272","252","0","0","0","","0","0","0","0","0","0","0","85","0","0","956","886","0"
"04/9(金)","75","74237","71","74166","68754","71","68683","0","5483","0","5483","53","48695","45098","23","交通系IC(12)/WAON(1)/MASTER(6)/JCB(1)/iD(2)/選択なし(1)","25542","交通系IC(7318)/WAON(442)/MASTER(12810)/JCB(1922)/iD(1513)/選択なし(1537)","23655","交通系IC(6778)/WAON(409)/MASTER(11864)/JCB(1780)/iD(1401)/選択なし(1423)","0","","0","","0","","1","110","102","0","0","0","","0","0","0","0","0","0","0","75","0","0","990","917","0"
"04/10(土)","118","123381","1259","122122","114246","1151","113095","0","9135","108","9027","85","83163","77006","34","iD(4)/MASTER(11)/JCB(8)/交通系IC(8)/WAON(1)/選択なし(1)/QUICPay(1)","40218","iD(3530)/MASTER(18371)/JCB(8888)/交通系IC(5920)/WAON(324)/選択なし(1351)/QUICPay(1834)","37241","iD(3269)/MASTER(17011)/JCB(8230)/交通系IC(5482)/WAON(300)/選択なし(1251)/QUICPay(1698)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","118","0","0","1046","968","0"
