"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税込・10%対象)","客単価(税込・8%対象)","客単価(税抜)","客単価(税抜・10%対象)","客単価(税抜・8%対象)","過不足"
"07/1(金)","27","24833","23","24810","22994","23","22971","0","1839","0","1839","22","20018","18536","5","交通系IC(2)/Master(2)/JCB(1)","4815","交通系IC(1334)/Master(2692)/JCB(789)","4459","交通系IC(1235)/Master(2493)/JCB(731)","0","","0","","0","","1","321","297","0","0","0","","0","0","0","0","0","0","0","27","0","0","920","1","919","852","1","851","0"
"07/2(土)","74","80679","58","80621","74694","58","74636","0","5985","0","5985","41","46802","43330","33","JCB(3)/iD(5)/Master(12)/交通系IC(12)/QUICPay(1)","33877","JCB(3346)/iD(4794)/Master(16045)/交通系IC(8196)/QUICPay(1496)","31364","JCB(3098)/iD(4438)/Master(14855)/交通系IC(7588)/QUICPay(1385)","0","","0","","0","","2","633","585","0","0","0","","0","0","0","0","0","0","0","74","0","0","1090","1","1089","1009","1","1009","0"
"07/3(日)","49","48213","43","48170","44636","43","44593","0","3577","0","3577","30","27567","25522","19","交通系IC(9)/JCB(3)/Master(5)/iD(2)","20646","交通系IC(8074)/JCB(4978)/Master(5225)/iD(2369)","19114","交通系IC(7475)/JCB(4609)/Master(4837)/iD(2193)","0","","0","","0","","2","896","828","0","0","0","","0","0","0","0","0","0","0","49","0","0","984","1","983","911","1","910","0"
"07/4(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07/5(火)","56","52212","50","52162","48343","50","48293","0","3869","0","3869","33","33364","30892","23","交通系IC(11)/Master(5)/JCB(1)/iD(5)/QUICPay(1)","18848","交通系IC(7905)/Master(5238)/JCB(939)/iD(4447)/QUICPay(319)","17450","交通系IC(7319)/Master(4850)/JCB(869)/iD(4117)/QUICPay(295)","0","","0","","0","","2","101","93","0","0","0","","0","0","0","0","0","0","0","56","0","0","932","1","931","863","1","862","0"
"07/6(水)","58","46127","42","46085","42705","42","42663","0","3422","0","3422","29","21419","19830","29","交通系IC(19)/WAON(1)/JCB(4)/iD(1)/Master(2)/選択なし(1)/QUICPay(1)","24708","交通系IC(14048)/WAON(356)/JCB(3794)/iD(1635)/Master(1489)/選択なし(2970)/QUICPay(416)","22877","交通系IC(13006)/WAON(330)/JCB(3513)/iD(1514)/Master(1379)/選択なし(2750)/QUICPay(385)","0","","0","","0","","1","253","234","0","0","0","","0","0","0","0","0","0","0","58","0","0","795","1","795","736","1","736","0"
"07/7(木)","45","39707","1385","38322","36734","1262","35472","0","2973","123","2850","30","25640","23720","15","交通系IC(4)/Master(5)/JCB(3)/iD(2)/QUICPay(1)","14067","交通系IC(2810)/Master(6748)/JCB(3050)/iD(1054)/QUICPay(405)","13015","交通系IC(2600)/Master(6243)/JCB(2822)/iD(975)/QUICPay(375)","0","","0","","0","","1","189","175","0","0","0","","0","0","0","0","0","0","0","45","0","0","882","31","852","816","28","788","0"
"07/8(金)","47","41342","26","41316","38267","26","38241","0","3075","0","3075","27","19316","17879","20","交通系IC(6)/Master(9)/iD(3)/JCB(2)","22026","交通系IC(7261)/Master(9514)/iD(3185)/JCB(2066)","20387","交通系IC(6721)/Master(8806)/iD(2948)/JCB(1912)","0","","0","","0","","2","366","340","0","0","0","","0","0","0","0","0","0","0","47","0","0","880","1","879","814","1","814","0"
"07/9(土)","77","89002","57","88945","82394","57","82337","0","6608","0","6608","38","35573","32932","39","iD(6)/交通系IC(16)/Master(12)/JCB(4)/選択なし(1)","53429","iD(7034)/交通系IC(18713)/Master(21113)/JCB(5672)/選択なし(897)","49462","iD(6512)/交通系IC(17324)/Master(19545)/JCB(5251)/選択なし(830)","0","","0","","0","","1","215","200","0","0","0","","0","0","0","0","0","0","0","77","0","0","1156","1","1155","1070","1","1069","0"
"07/10(日)","104","97694","97","97597","90446","97","90349","0","7248","0","7248","48","42186","39056","56","JCB(2)/選択なし(1)/Master(19)/交通系IC(29)/iD(2)/WAON(1)/QUICPay(2)","55508","JCB(2060)/選択なし(1135)/Master(21370)/交通系IC(26748)/iD(1048)/WAON(567)/QUICPay(2580)","51391","JCB(1907)/選択なし(1051)/Master(19785)/交通系IC(24764)/iD(970)/WAON(525)/QUICPay(2389)","0","","0","","0","","2","753","698","0","0","0","","0","0","0","0","0","0","0","104","0","0","939","1","938","870","1","869","0"
