"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税抜)","過不足"
"01/1(土)","40","56607","34","56573","52433","34","52399","0","4174","0","4174","27","40857","37844","13","交通系IC(5)/MASTER(6)/iD(1)/JCB(1)","15750","交通系IC(5691)/MASTER(8761)/iD(432)/JCB(866)","14588","交通系IC(5271)/MASTER(8115)/iD(400)/JCB(802)","0","","0","","0","","1","548","508","0","0","0","","0","0","0","0","0","0","0","40","0","0","1415","1311","0"
"01/2(日)","62","69409","48","69361","64289","48","64241","0","5120","0","5120","38","42104","38998","24","MASTER(11)/交通系IC(10)/選択なし(1)/iD(1)/JCB(1)","27305","MASTER(11802)/交通系IC(10506)/選択なし(1307)/iD(1908)/JCB(1782)","25291","MASTER(10931)/交通系IC(9731)/選択なし(1211)/iD(1767)/JCB(1651)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","62","0","0","1120","1037","0"
"01/3(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01/4(火)","73","75272","58","75214","69718","58","69660","0","5554","0","5554","45","45151","41820","28","交通系IC(13)/MASTER(10)/JCB(3)/iD(2)","30121","交通系IC(10552)/MASTER(13013)/JCB(4285)/iD(2271)","27898","交通系IC(9773)/MASTER(12053)/JCB(3969)/iD(2103)","0","","0","","0","","1","253","234","0","0","0","","0","0","0","0","0","0","0","73","0","0","1031","955","0"
"01/5(水)","58","55228","74","55154","51158","74","51084","0","4070","0","4070","35","33829","31336","23","MASTER(9)/交通系IC(6)/選択なし(2)/JCB(4)/iD(2)","21399","MASTER(10397)/交通系IC(4223)/選択なし(1371)/JCB(3804)/iD(1604)","19823","MASTER(9631)/交通系IC(3912)/選択なし(1270)/JCB(3524)/iD(1486)","0","","0","","0","","2","327","303","0","0","0","","0","0","0","0","0","0","0","58","0","0","952","882","0"
"01/6(木)","48","51087","35","51052","47322","35","47287","0","3765","0","3765","31","34069","31558","17","MASTER(5)/交通系IC(7)/iD(3)/JCB(1)/QUICPay(1)","17018","MASTER(8101)/交通系IC(5330)/iD(2755)/JCB(476)/QUICPay(356)","15764","MASTER(7504)/交通系IC(4937)/iD(2552)/JCB(441)/QUICPay(330)","0","","0","","0","","1","178","165","0","0","0","","0","0","0","0","0","0","0","48","0","0","1064","986","0"
"01/7(金)","51","46694","60","46634","43249","60","43189","0","3445","0","3445","37","34458","31916","14","選択なし(1)/交通系IC(7)/MASTER(5)/JCB(1)","12236","選択なし(1102)/交通系IC(5047)/MASTER(4658)/JCB(1429)","11334","選択なし(1021)/交通系IC(4675)/MASTER(4314)/JCB(1324)","0","","0","","0","","1","383","355","0","0","0","","0","0","0","0","0","0","0","51","0","0","916","848","0"
"01/8(土)","98","105909","113","105796","98099","113","97986","0","7810","0","7810","61","58075","53792","37","MASTER(12)/交通系IC(15)/選択なし(4)/WAON(1)/iD(2)/JCB(2)/QUICPay(1)","47834","MASTER(16786)/交通系IC(15307)/選択なし(6878)/WAON(755)/iD(4779)/JCB(2658)/QUICPay(671)","44307","MASTER(15548)/交通系IC(14178)/選択なし(6371)/WAON(699)/iD(4427)/JCB(2462)/QUICPay(622)","0","","0","","0","","1","233","216","0","0","0","","0","0","0","0","0","0","0","98","0","0","1081","1001","0"
"01/9(日)","80","77005","76","76929","71321","76","71245","0","5684","0","5684","44","38005","35200","36","交通系IC(14)/JCB(7)/MASTER(9)/QUICPay(4)/iD(2)","39000","交通系IC(17518)/JCB(7464)/MASTER(9999)/QUICPay(2712)/iD(1307)","36122","交通系IC(16225)/JCB(6913)/MASTER(9261)/QUICPay(2512)/iD(1211)","0","","0","","0","","1","970","898","0","0","0","","0","0","0","0","0","0","0","80","0","0","963","892","0"
"01/10(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01/11(火)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01/12(水)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01/13(木)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01/14(金)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01/15(土)","73","78291","94","78197","72519","94","72425","0","5772","0","5772","40","44007","40763","33","MASTER(8)/選択なし(3)/JCB(5)/交通系IC(12)/iD(4)/WAON(1)","34284","MASTER(11073)/選択なし(4331)/JCB(5862)/交通系IC(7802)/iD(4438)/WAON(778)","31758","MASTER(10257)/選択なし(4012)/JCB(5430)/交通系IC(7227)/iD(4111)/WAON(721)","0","","0","","0","","1","269","249","0","0","0","","0","0","0","0","0","0","0","73","0","0","1072","993","0"
"01/16(日)","97","85641","93","85548","79321","93","79228","0","6320","0","6320","60","51382","47590","37","JCB(6)/交通系IC(17)/MASTER(11)/QUICPay(2)/iD(1)","34259","JCB(4052)/交通系IC(14145)/MASTER(12701)/QUICPay(1654)/iD(1707)","31731","JCB(3753)/交通系IC(13101)/MASTER(11764)/QUICPay(1532)/iD(1581)","0","","0","","0","","1","10","9","0","0","0","","0","0","0","0","0","0","0","97","0","0","883","818","0"
"01/17(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01/18(火)","83","62829","48","62781","58192","48","58144","0","4637","0","4637","49","35985","33329","34","交通系IC(18)/MASTER(6)/選択なし(2)/iD(5)/JCB(1)/QUICPay(2)","26844","交通系IC(11746)/MASTER(6366)/選択なし(2646)/iD(4589)/JCB(953)/QUICPay(544)","24863","交通系IC(10879)/MASTER(5896)/選択なし(2451)/iD(4250)/JCB(883)/QUICPay(504)","0","","0","","0","","2","432","400","0","0","0","","0","0","0","0","0","0","0","83","0","0","757","701","0"
"01/19(水)","65","54752","51","54701","50709","51","50658","0","4043","0","4043","38","33153","30705","27","MASTER(11)/交通系IC(10)/iD(3)/JCB(1)/QUICPay(2)","21599","MASTER(8988)/交通系IC(7539)/iD(2919)/JCB(1537)/QUICPay(616)","20004","MASTER(8324)/交通系IC(6982)/iD(2703)/JCB(1424)/QUICPay(571)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","65","0","0","842","780","0"
"01/20(木)","47","43316","39","43277","40121","39","40082","0","3195","0","3195","29","22243","20602","18","MASTER(8)/iD(1)/交通系IC(8)/JCB(1)","21073","MASTER(9665)/iD(782)/交通系IC(9211)/JCB(1415)","19519","MASTER(8952)/iD(724)/交通系IC(8532)/JCB(1311)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","47","0","0","922","854","0"
"01/21(金)","49","38978","42","38936","36103","42","36061","0","2875","0","2875","30","23636","21893","19","MASTER(3)/交通系IC(12)/iD(3)/JCB(1)","15342","MASTER(3211)/交通系IC(8925)/iD(2178)/JCB(1028)","14210","MASTER(2974)/交通系IC(8267)/iD(2017)/JCB(952)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","49","0","0","795","737","0"
"01/22(土)","104","101237","69","101168","93763","69","93694","0","7474","0","7474","55","51281","47495","49","JCB(6)/交通系IC(20)/MASTER(16)/選択なし(2)/QUICPay(2)/iD(3)","49956","JCB(4471)/交通系IC(16424)/MASTER(20300)/選択なし(3389)/QUICPay(1977)/iD(3395)","46267","JCB(4141)/交通系IC(15211)/MASTER(18801)/選択なし(3139)/QUICPay(1831)/iD(3144)","0","","0","","0","","1","162","150","0","0","0","","0","0","0","0","0","0","0","104","0","0","973","902","0"
"01/23(日)","89","88342","83","88259","81822","83","81739","0","6520","0","6520","43","39939","36991","46","MASTER(14)/交通系IC(23)/iD(4)/選択なし(1)/JCB(3)/WAON(1)","48403","MASTER(15464)/交通系IC(21875)/iD(4601)/選択なし(1000)/JCB(2277)/WAON(3186)","44831","MASTER(14323)/交通系IC(20261)/iD(4261)/選択なし(926)/JCB(2109)/WAON(2951)","0","","0","","0","","1","230","213","0","0","0","","0","0","0","0","0","0","0","89","0","0","993","919","0"
"01/24(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01/25(火)","61","49535","27","49508","45878","27","45851","0","3657","0","3657","32","24464","22658","29","交通系IC(14)/JCB(2)/WAON(1)/MASTER(5)/iD(4)/選択なし(2)/QUICPay(1)","25071","交通系IC(8426)/JCB(3312)/WAON(356)/MASTER(6907)/iD(3202)/選択なし(2540)/QUICPay(328)","23220","交通系IC(7804)/JCB(3067)/WAON(330)/MASTER(6397)/iD(2966)/選択なし(2352)/QUICPay(304)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","61","0","0","812","752","0"
"01/26(水)","43","39486","16","39470","36562","16","36546","0","2924","0","2924","23","18162","16817","20","JCB(2)/MASTER(2)/選択なし(3)/iD(3)/交通系IC(9)/QUICPay(1)","21324","JCB(3130)/MASTER(2021)/選択なし(4906)/iD(1923)/交通系IC(8847)/QUICPay(497)","19745","JCB(2898)/MASTER(1871)/選択なし(4543)/iD(1781)/交通系IC(8192)/QUICPay(460)","0","","0","","0","","1","155","144","0","0","0","","0","0","0","0","0","0","0","43","0","0","918","850","0"
"01/27(木)","69","60348","68","60280","55899","68","55831","0","4449","0","4449","40","34731","32171","29","JCB(3)/MASTER(9)/交通系IC(12)/iD(2)/QUICPay(3)","25617","JCB(2827)/MASTER(10044)/交通系IC(9250)/iD(1070)/QUICPay(2426)","23729","JCB(2619)/MASTER(9304)/交通系IC(8568)/iD(991)/QUICPay(2247)","0","","0","","0","","1","155","144","0","0","0","","0","0","0","0","0","0","0","69","0","0","875","810","0"
"01/28(金)","49","46286","44","46242","42871","44","42827","0","3415","0","3415","32","32013","29651","17","JCB(3)/MASTER(6)/交通系IC(6)/iD(2)","14273","JCB(3670)/MASTER(4800)/交通系IC(4992)/iD(811)","13220","JCB(3399)/MASTER(4446)/交通系IC(4624)/iD(751)","0","","0","","0","","1","10","9","0","0","0","","0","0","0","0","0","0","0","49","0","0","945","875","0"
"01/29(土)","99","112486","90","112396","104187","90","104097","0","8299","0","8299","57","60319","55869","42","MASTER(16)/QUICPay(2)/選択なし(3)/交通系IC(15)/JCB(3)/iD(3)","52167","MASTER(19964)/QUICPay(1624)/選択なし(3745)/交通系IC(17374)/JCB(4872)/iD(4588)","48319","MASTER(18491)/QUICPay(1504)/選択なし(3469)/交通系IC(16092)/JCB(4513)/iD(4250)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","99","0","0","1136","1052","0"
"01/30(日)","91","89230","95","89135","82645","95","82550","0","6585","0","6585","51","48035","44490","40","JCB(5)/交通系IC(20)/MASTER(9)/iD(3)/WAON(2)/QUICPay(1)","41195","JCB(4815)/交通系IC(18265)/MASTER(11646)/iD(3926)/WAON(2324)/QUICPay(219)","38155","JCB(4460)/交通系IC(16917)/MASTER(10787)/iD(3636)/WAON(2152)/QUICPay(203)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","91","0","0","981","908","0"
"01/31(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1529","1487968","1357","1486611","1378181","1357","1376824","0","109787","0","109787","897","845898","783488","632","交通系IC(273)/MASTER(191)/iD(54)/JCB(62)/選択なし(24)/QUICPay(22)/WAON(6)","642070","交通系IC(238995)/MASTER(226667)/iD(55185)/JCB(66985)/選択なし(33215)/QUICPay(13624)/WAON(7399)","594698","交通系IC(221359)/MASTER(209944)/iD(51112)/JCB(62045)/選択なし(30765)/QUICPay(12620)/WAON(6853)","0","","0","","0","","17","4315","3997","0","0","0","","0","0","0","0","0","0","0","1529","0","0","973","901","0"
