"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税抜)","過不足"
"09/1(水)","60","55375","33","55342","51288","33","51255","0","4087","0","4087","43","37032","34299","17","交通系IC(8)/JCB(2)/iD(3)/MASTER(2)/選択なし(1)/QUICPay(1)","18343","交通系IC(5381)/JCB(2384)/iD(2320)/MASTER(4454)/選択なし(3156)/QUICPay(648)","16989","交通系IC(4984)/JCB(2208)/iD(2149)/MASTER(4125)/選択なし(2923)/QUICPay(600)","0","","0","","0","","2","515","477","0","0","0","","0","0","0","0","0","0","0","60","0","0","923","855","0"
"09/2(木)","40","37222","51","37171","34477","51","34426","0","2745","0","2745","28","25290","23425","12","QUICPay(1)/交通系IC(7)/iD(2)/MASTER(2)","11932","QUICPay(952)/交通系IC(6401)/iD(1968)/MASTER(2611)","11052","QUICPay(882)/交通系IC(5929)/iD(1823)/MASTER(2418)","0","","0","","0","","1","178","165","0","0","0","","0","0","0","0","0","0","0","40","0","0","931","862","0"
"09/3(金)","50","39805","69","39736","36877","69","36808","0","2928","0","2928","33","26877","24900","17","交通系IC(7)/MASTER(4)/WAON(1)/iD(3)/JCB(2)","12928","交通系IC(3609)/MASTER(3980)/WAON(708)/iD(2826)/JCB(1805)","11977","交通系IC(3344)/MASTER(3687)/WAON(656)/iD(2618)/JCB(1672)","0","","0","","0","","1","269","249","0","0","0","","0","0","0","0","0","0","0","50","0","0","796","738","0"
"09/4(土)","89","96467","78","96389","89343","78","89265","0","7124","0","7124","55","55347","51260","34","MASTER(10)/選択なし(2)/iD(2)/交通系IC(14)/JCB(5)/QUICPay(1)","41120","MASTER(16307)/選択なし(2050)/iD(2852)/交通系IC(12865)/JCB(6475)/QUICPay(571)","38084","MASTER(15103)/選択なし(1899)/iD(2641)/交通系IC(11915)/JCB(5997)/QUICPay(529)","0","","0","","0","","1","324","300","0","0","0","","0","0","0","0","0","0","0","89","0","0","1084","1004","0"
"09/5(日)","82","88792","91","88701","82247","91","82156","0","6545","0","6545","54","58296","53999","28","交通系IC(16)/MASTER(8)/iD(2)/JCB(1)/QUICPay(1)","30496","交通系IC(11185)/MASTER(13416)/iD(2178)/JCB(1881)/QUICPay(1836)","28248","交通系IC(10361)/MASTER(12427)/iD(2017)/JCB(1742)/QUICPay(1701)","0","","0","","0","","1","271","251","0","0","0","","0","0","0","0","0","0","0","82","0","0","1083","1003","0"
"09/6(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09/7(火)","82","64663","38","64625","59890","38","59852","0","4773","0","4773","52","37506","34738","30","交通系IC(18)/JCB(4)/MASTER(5)/iD(2)/選択なし(1)","27157","交通系IC(13718)/JCB(5807)/MASTER(6198)/iD(915)/選択なし(519)","25152","交通系IC(12705)/JCB(5378)/MASTER(5741)/iD(847)/選択なし(481)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","82","0","0","789","730","0"
"09/8(水)","44","38662","28","38634","35812","28","35784","0","2850","0","2850","31","25856","23950","13","MASTER(3)/JCB(1)/選択なし(2)/交通系IC(5)/iD(2)","12806","MASTER(3686)/JCB(1481)/選択なし(1611)/交通系IC(3811)/iD(2217)","11862","MASTER(3414)/JCB(1372)/選択なし(1492)/交通系IC(3530)/iD(2054)","0","","0","","0","","1","298","276","0","0","0","","0","0","0","0","0","0","0","44","0","0","879","814","0"
"09/9(木)","47","42926","52","42874","39761","52","39709","0","3165","0","3165","37","29110","26964","10","iD(2)/QUICPay(1)/MASTER(3)/交通系IC(4)","13816","iD(1456)/QUICPay(1298)/MASTER(6335)/交通系IC(4727)","12797","iD(1349)/QUICPay(1202)/MASTER(5868)/交通系IC(4378)","0","","0","","0","","1","441","408","0","0","0","","0","0","0","0","0","0","0","47","0","0","913","846","0"
"09/10(金)","76","66356","84","66272","61467","84","61383","0","4889","0","4889","50","41096","38068","26","MASTER(8)/交通系IC(10)/iD(4)/JCB(3)/QUICPay(1)","25260","MASTER(9966)/交通系IC(10625)/iD(2065)/JCB(2237)/QUICPay(367)","23399","MASTER(9232)/交通系IC(9842)/iD(1913)/JCB(2072)/QUICPay(340)","0","","0","","0","","1","282","261","0","0","0","","0","0","0","0","0","0","0","76","0","0","873","809","0"
"09/11(土)","86","95312","77","95235","88282","77","88205","0","7030","0","7030","60","65077","60277","26","iD(4)/選択なし(2)/交通系IC(12)/MASTER(5)/JCB(2)/QUICPay(1)","30235","iD(4998)/選択なし(2067)/交通系IC(13459)/MASTER(6672)/JCB(1570)/QUICPay(1469)","28005","iD(4629)/選択なし(1915)/交通系IC(12466)/MASTER(6180)/JCB(1454)/QUICPay(1361)","0","","0","","0","","1","305","283","0","0","0","","0","0","0","0","0","0","0","86","0","0","1108","1027","0"
"09/12(日)","77","77521","77","77444","71798","77","71721","0","5723","0","5723","48","45096","41767","29","MASTER(6)/選択なし(1)/交通系IC(13)/iD(3)/JCB(4)/QUICPay(2)","32425","MASTER(4932)/選択なし(1182)/交通系IC(14082)/iD(3640)/JCB(6392)/QUICPay(2197)","30031","MASTER(4568)/選択なし(1095)/交通系IC(13042)/iD(3371)/JCB(5920)/QUICPay(2035)","0","","0","","0","","1","266","246","0","0","0","","0","0","0","0","0","0","0","77","0","0","1007","932","0"
"09/13(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09/14(火)","54","46656","56","46600","43215","56","43159","0","3441","0","3441","36","23585","21846","18","交通系IC(11)/JCB(1)/MASTER(4)/選択なし(2)","23071","交通系IC(12397)/JCB(1631)/MASTER(4526)/選択なし(4517)","21370","交通系IC(11483)/JCB(1511)/MASTER(4192)/選択なし(4184)","0","","0","","0","","1","305","283","0","0","0","","0","0","0","0","0","0","0","54","0","0","864","800","0"
"09/15(水)","60","53191","49","53142","49264","49","49215","0","3927","0","3927","34","28661","26545","26","交通系IC(14)/MASTER(6)/JCB(2)/iD(4)","24530","交通系IC(11074)/MASTER(6183)/JCB(1917)/iD(5356)","22719","交通系IC(10256)/MASTER(5727)/JCB(1775)/iD(4961)","0","","0","","0","","1","303","280","0","0","0","","0","0","0","0","0","0","0","60","0","0","887","821","0"
"09/16(木)","54","42708","42","42666","39557","42","39515","0","3151","0","3151","34","29566","27385","20","交通系IC(12)/MASTER(4)/JCB(2)/iD(2)","13142","交通系IC(6668)/MASTER(4162)/JCB(725)/iD(1587)","12173","交通系IC(6176)/MASTER(3855)/JCB(672)/iD(1470)","0","","0","","0","","1","227","210","0","0","0","","0","0","0","0","0","0","0","54","0","0","791","733","0"
"09/17(金)","58","53764","47","53717","49795","47","49748","0","3969","0","3969","39","38345","35514","19","iD(3)/MASTER(4)/交通系IC(7)/選択なし(2)/JCB(3)","15419","iD(2151)/MASTER(4805)/交通系IC(3564)/選択なし(2243)/JCB(2656)","14280","iD(1992)/MASTER(4450)/交通系IC(3301)/選択なし(2077)/JCB(2460)","0","","0","","0","","1","409","378","0","0","0","","0","0","0","0","0","0","0","58","0","0","927","859","0"
