"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税込・10%対象)","客単価(税込・8%対象)","客単価(税抜)","客単価(税抜・10%対象)","客単価(税抜・8%対象)","過不足"
"09/1(木)","45","54792","44","54748","50724","44","50680","0","4068","0","4068","27","35860","33198","18","iD(3)/交通系IC(8)/JCB(2)/WAON(1)/Master(4)","18932","iD(2906)/交通系IC(5475)/JCB(4787)/WAON(1232)/Master(4532)","17528","iD(2690)/交通系IC(5069)/JCB(4432)/WAON(1141)/Master(4196)","0","","0","","0","","2","574","531","0","0","0","","0","0","0","0","0","0","0","45","0","0","1218","1","1217","1127","1","1126","0"
"09/2(金)","25","28484","29","28455","26367","29","26338","0","2117","0","2117","20","24045","22258","5","Master(3)/交通系IC(1)/JCB(1)","4439","Master(3218)/交通系IC(816)/JCB(405)","4109","Master(2979)/交通系IC(755)/JCB(375)","0","","0","","0","","3","944","873","0","0","0","","0","0","0","0","0","0","0","25","0","0","1139","1","1138","1055","1","1054","0"
"09/3(土)","82","86361","76","86285","79949","76","79873","0","6412","0","6412","37","35921","33254","45","交通系IC(17)/iD(7)/Master(11)/JCB(7)/選択なし(1)/QUICPay(2)","50440","交通系IC(17321)/iD(8206)/Master(14061)/JCB(8123)/選択なし(1784)/QUICPay(945)","46696","交通系IC(16035)/iD(7597)/Master(13017)/JCB(7520)/選択なし(1652)/QUICPay(875)","0","","0","","0","","2","547","507","0","0","0","","0","0","0","0","0","0","0","82","0","0","1053","1","1052","975","1","974","0"
"09/4(日)","82","87147","67","87080","80674","67","80607","0","6473","0","6473","43","39582","36642","39","Master(13)/交通系IC(16)/WAON(2)/iD(3)/QUICPay(2)/JCB(3)","47565","Master(19792)/交通系IC(14240)/WAON(1395)/iD(5264)/QUICPay(1371)/JCB(5503)","44031","Master(18322)/交通系IC(13182)/WAON(1291)/iD(4873)/QUICPay(1269)/JCB(5094)","0","","0","","0","","1","410","379","0","0","0","","0","0","0","0","0","0","0","82","0","0","1063","1","1062","984","1","983","0"
"09/5(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"09/6(火)","55","56894","52","56842","52668","52","52616","0","4226","0","4226","31","28572","26450","24","QUICPay(1)/交通系IC(9)/JCB(2)/iD(5)/Master(5)/WAON(1)/選択なし(1)","28322","QUICPay(490)/交通系IC(5806)/JCB(3385)/iD(4726)/Master(8353)/WAON(2429)/選択なし(3133)","26220","QUICPay(454)/交通系IC(5375)/JCB(3134)/iD(4375)/Master(7733)/WAON(2249)/選択なし(2900)","0","","0","","0","","2","589","545","0","0","0","","0","0","0","0","0","0","0","55","0","0","1034","1","1033","958","1","957","0"
"09/7(水)","41","41962","33","41929","38846","33","38813","0","3116","0","3116","22","17782","16462","19","交通系IC(4)/Master(11)/JCB(3)/iD(1)","24180","交通系IC(5632)/Master(14098)/JCB(2657)/iD(1793)","22385","交通系IC(5214)/Master(13051)/JCB(2460)/iD(1660)","0","","0","","0","","2","409","379","0","0","0","","0","0","0","0","0","0","0","41","0","0","1023","1","1023","947","1","947","0"
"09/8(木)","47","46028","47","45981","42611","47","42564","0","3417","0","3417","20","23279","21551","27","Master(9)/交通系IC(10)/iD(4)/WAON(1)/QUICPay(1)/選択なし(1)/JCB(1)","22749","Master(8009)/交通系IC(7647)/iD(2865)/WAON(976)/QUICPay(1544)/選択なし(1438)/JCB(270)","21059","Master(7414)/交通系IC(7079)/iD(2652)/WAON(904)/QUICPay(1429)/選択なし(1331)/JCB(250)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","47","0","0","979","1","978","907","1","906","0"
"09/9(金)","37","32574","43","32531","30162","43","30119","0","2412","0","2412","19","19477","18035","18","交通系IC(10)/選択なし(2)/JCB(3)/iD(1)/Master(2)","13097","交通系IC(7334)/選択なし(1889)/JCB(1017)/iD(1134)/Master(1723)","12127","交通系IC(6791)/選択なし(1749)/JCB(942)/iD(1050)/Master(1595)","0","","0","","0","","1","194","180","0","0","0","","0","0","0","0","0","0","0","37","0","0","880","1","879","815","1","814","0"
"09/10(土)","69","80996","65","80931","74981","65","74916","0","6015","0","6015","37","41075","38025","32","Master(12)/JCB(4)/交通系IC(11)/iD(5)","39921","Master(14695)/JCB(3795)/交通系IC(13892)/iD(7539)","36956","Master(13604)/JCB(3513)/交通系IC(12860)/iD(6979)","0","","0","","0","","1","410","380","0","0","0","","0","0","0","0","0","0","0","69","0","0","1174","1","1173","1087","1","1086","0"
