"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税抜)","過不足"
"05/1(土)","125","129362","1311","128051","119803","1203","118600","0","9559","108","9451","81","79379","73513","44","交通系IC(18)/MASTER(10)/JCB(5)/iD(4)/選択なし(4)/QUICPay(3)","49983","交通系IC(20166)/MASTER(10597)/JCB(7329)/iD(2763)/選択なし(5735)/QUICPay(3393)","46289","交通系IC(18676)/MASTER(9814)/JCB(6787)/iD(2559)/選択なし(5311)/QUICPay(3142)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","125","0","0","1035","958","0"
"05/2(日)","94","100815","78","100737","93373","78","93295","0","7442","0","7442","57","57121","52904","37","交通系IC(18)/WAON(2)/iD(3)/MASTER(12)/選択なし(1)/JCB(1)","43694","交通系IC(15427)/WAON(3594)/iD(5131)/MASTER(17047)/選択なし(1297)/JCB(1198)","40469","交通系IC(14288)/WAON(3329)/iD(4752)/MASTER(15789)/選択なし(1201)/JCB(1110)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","94","0","0","1073","993","0"
"05/3(月)","107","92255","77","92178","85451","77","85374","0","6804","0","6804","66","50423","46704","41","交通系IC(20)/MASTER(12)/選択なし(2)/iD(4)/JCB(2)/WAON(1)","41832","交通系IC(16738)/MASTER(15182)/選択なし(1520)/iD(3413)/JCB(4801)/WAON(178)","38747","交通系IC(15504)/MASTER(14062)/選択なし(1408)/iD(3161)/JCB(4447)/WAON(165)","0","","0","","0","","1","396","367","0","0","0","","0","0","0","0","0","0","0","107","0","0","862","799","0"
"05/4(火)","130","128230","80","128150","118770","80","118690","0","9460","0","9460","84","77194","71499","46","QUICPay(3)/iD(5)/交通系IC(23)/MASTER(9)/JCB(3)/選択なし(2)/WAON(1)","51036","QUICPay(3812)/iD(4309)/交通系IC(28320)/MASTER(8576)/JCB(2334)/選択なし(2606)/WAON(1079)","47271","QUICPay(3531)/iD(3991)/交通系IC(26231)/MASTER(7943)/JCB(2162)/選択なし(2414)/WAON(999)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","130","0","0","986","914","0"
"05/5(水)","97","85194","573","84621","78902","527","78375","0","6292","46","6246","70","62447","57835","27","JCB(5)/交通系IC(14)/iD(2)/MASTER(3)/QUICPay(3)","22747","JCB(4996)/交通系IC(9000)/iD(3564)/MASTER(3814)/QUICPay(1373)","21067","JCB(4627)/交通系IC(8335)/iD(3301)/MASTER(3532)/QUICPay(1272)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","97","0","0","878","813","0"
"05/6(木)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05/7(金)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05/8(土)","124","123941","58","123883","114788","58","114730","0","9153","0","9153","64","57929","53651","60","iD(7)/交通系IC(28)/MASTER(15)/QUICPay(2)/JCB(6)/WAON(1)/選択なし(1)","66012","iD(9911)/交通系IC(23773)/MASTER(22080)/QUICPay(771)/JCB(6873)/WAON(464)/選択なし(2140)","61136","iD(9179)/交通系IC(22017)/MASTER(20449)/QUICPay(714)/JCB(6365)/WAON(430)/選択なし(1982)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","124","0","0","1000","926","0"
"05/9(日)","106","101265","86","101179","93795","86","93709","0","7470","0","7470","71","64420","59668","35","JCB(6)/MASTER(11)/交通系IC(16)/選択なし(1)/iD(1)","36845","JCB(6186)/MASTER(13308)/交通系IC(15170)/選択なし(1274)/iD(907)","34127","JCB(5730)/MASTER(12326)/交通系IC(14051)/選択なし(1180)/iD(840)","0","","0","","0","","1","411","381","0","0","0","","0","0","0","0","0","0","0","106","0","0","955","885","0"
"05/10(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05/11(火)","76","62471","1213","61258","57840","1105","56735","0","4631","108","4523","46","40594","37585","30","MASTER(4)/交通系IC(16)/JCB(4)/選択なし(1)/iD(3)/QUICPay(2)","21877","MASTER(4446)/交通系IC(8880)/JCB(2877)/選択なし(962)/iD(3141)/QUICPay(1571)","20256","MASTER(4116)/交通系IC(8222)/JCB(2664)/選択なし(891)/iD(2908)/QUICPay(1455)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","76","0","0","822","761","0"
"05/12(水)","92","72026","45","71981","66711","45","66666","0","5315","0","5315","59","48230","44671","33","交通系IC(20)/JCB(2)/MASTER(8)/iD(2)/選択なし(1)","23796","交通系IC(14183)/JCB(1676)/MASTER(5990)/iD(1256)/選択なし(691)","22039","交通系IC(13136)/JCB(1552)/MASTER(5548)/iD(1163)/選択なし(640)","0","","0","","0","","2","366","339","0","0","0","","0","0","0","0","0","0","0","92","0","0","783","725","0"
"05/13(木)","47","43509","1229","42280","40278","1121","39157","0","3231","108","3123","29","23537","21789","18","JCB(1)/交通系IC(9)/MASTER(8)","19972","JCB(2001)/交通系IC(7168)/MASTER(10803)","18489","JCB(1852)/交通系IC(6636)/MASTER(10001)","0","","0","","0","","2","376","348","0","0","0","","0","0","0","0","0","0","0","47","0","0","926","857","0"
"05/14(金)","87","84043","83","83960","77844","83","77761","0","6199","0","6199","61","54042","50056","26","MASTER(6)/交通系IC(13)/QUICPay(1)/JCB(4)/iD(1)/選択なし(1)","30001","MASTER(6860)/交通系IC(10236)/QUICPay(724)/JCB(7987)/iD(1147)/選択なし(3047)","27788","MASTER(6354)/交通系IC(9481)/QUICPay(671)/JCB(7398)/iD(1062)/選択なし(2822)","0","","0","","0","","1","740","685","0","0","0","","0","0","0","0","0","0","0","87","0","0","966","895","0"
"05/15(土)","114","121833","86","121747","112834","86","112748","0","8999","0","8999","65","68198","63161","49","iD(6)/交通系IC(20)/JCB(5)/MASTER(16)/選択なし(1)/QUICPay(1)","53635","iD(6877)/交通系IC(15001)/JCB(7763)/MASTER(22990)/選択なし(777)/QUICPay(227)","49674","iD(6369)/交通系IC(13893)/JCB(7190)/MASTER(21292)/選択なし(720)/QUICPay(210)","0","","0","","0","","1","224","207","0","0","0","","0","0","0","0","0","0","0","114","0","0","1069","990","0"
"05/16(日)","90","96377","82","96295","89270","82","89188","0","7107","0","7107","52","49419","45775","38","JCB(4)/交通系IC(19)/MASTER(13)/iD(2)","46958","JCB(9984)/交通系IC(22364)/MASTER(12764)/iD(1846)","43496","JCB(9248)/交通系IC(20715)/MASTER(11823)/iD(1710)","0","","0","","0","","1","256","237","0","0","0","","0","0","0","0","0","0","0","90","0","0","1071","992","0"
"05/17(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05/18(火)","71","61593","1231","60362","57026","1123","55903","0","4567","108","4459","45","35159","32552","26","JCB(3)/iD(2)/MASTER(8)/交通系IC(10)/WAON(1)/選択なし(2)","26434","JCB(3721)/iD(1750)/MASTER(7973)/交通系IC(10243)/WAON(432)/選択なし(2315)","24474","JCB(3445)/iD(1620)/MASTER(7382)/交通系IC(9484)/WAON(400)/選択なし(2143)","0","","0","","0","","1","305","282","0","0","0","","0","0","0","0","0","0","0","71","0","0","868","803","0"
"05/19(水)","64","56081","35","56046","51938","35","51903","0","4143","0","4143","34","30878","28597","30","交通系IC(16)/iD(6)/MASTER(7)/QUICPay(1)","25203","交通系IC(10869)/iD(4437)/MASTER(9173)/QUICPay(724)","23341","交通系IC(10066)/iD(4109)/MASTER(8495)/QUICPay(671)","0","","0","","0","","1","240","222","0","0","0","","0","0","0","0","0","0","0","64","0","0","876","812","0"
"05/20(木)","71","60438","68","60370","55973","68","55905","0","4465","0","4465","43","32877","30448","28","JCB(4)/MASTER(7)/交通系IC(13)/選択なし(2)/iD(2)","27561","JCB(6614)/MASTER(6874)/交通系IC(10496)/選択なし(2019)/iD(1558)","25525","JCB(6125)/MASTER(6366)/交通系IC(9721)/選択なし(1870)/iD(1443)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","71","0","0","851","788","0"
"05/21(金)","53","51556","1247","50309","47729","1139","46590","0","3827","108","3719","39","37288","34520","14","JCB(1)/MASTER(4)/交通系IC(9)","14268","JCB(951)/MASTER(4189)/交通系IC(9128)","13208","JCB(880)/MASTER(3878)/交通系IC(8450)","0","","0","","0","","1","211","195","0","0","0","","0","0","0","0","0","0","0","53","0","0","973","901","0"
"05/22(土)","97","108722","46","108676","100694","46","100648","0","8028","0","8028","57","55327","51242","40","交通系IC(13)/JCB(5)/WAON(1)/MASTER(15)/選択なし(2)/iD(3)/QUICPay(1)","53395","交通系IC(14623)/JCB(6985)/WAON(475)/MASTER(22234)/選択なし(3845)/iD(3036)/QUICPay(2197)","49452","交通系IC(13543)/JCB(6469)/WAON(440)/MASTER(20592)/選択なし(3561)/iD(2812)/QUICPay(2035)","0","","0","","0","","2","226","210","0","0","0","","0","0","0","0","0","0","0","97","0","0","1121","1038","0"
"05/23(日)","115","112841","113","112728","104518","113","104405","0","8323","0","8323","70","68252","63218","45","交通系IC(16)/MASTER(9)/WAON(5)/JCB(5)/iD(8)/選択なし(1)/QUICPay(1)","44589","交通系IC(15281)/MASTER(6700)/WAON(6268)/JCB(5833)/iD(8553)/選択なし(1208)/QUICPay(746)","41301","交通系IC(14154)/MASTER(6206)/WAON(5806)/JCB(5403)/iD(7922)/選択なし(1119)/QUICPay(691)","0","","0","","0","","1","188","174","0","0","0","","0","0","0","0","0","0","0","115","0","0","981","909","0"
"05/24(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05/25(火)","73","66693","65","66628","61770","65","61705","0","4923","0","4923","42","39214","36319","31","交通系IC(16)/JCB(4)/MASTER(7)/iD(3)/選択なし(1)","27479","交通系IC(11141)/JCB(3207)/MASTER(10352)/iD(2131)/選択なし(648)","25451","交通系IC(10319)/JCB(2970)/MASTER(9588)/iD(1974)/選択なし(600)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","73","0","0","914","846","0"
"05/26(水)","76","62375","56","62319","57774","56","57718","0","4601","0","4601","43","34533","31986","33","JCB(1)/交通系IC(17)/MASTER(11)/iD(2)/QUICPay(1)/選択なし(1)","27842","JCB(705)/交通系IC(11435)/MASTER(13097)/iD(1115)/QUICPay(810)/選択なし(680)","25789","JCB(653)/交通系IC(10592)/MASTER(12131)/iD(1033)/QUICPay(750)/選択なし(630)","0","","0","","0","","2","440","408","0","0","0","","0","0","0","0","0","0","0","76","0","0","821","760","0"
"05/27(木)","51","48327","42","48285","44758","42","44716","0","3569","0","3569","35","32025","29660","16","JCB(4)/交通系IC(7)/MASTER(2)/iD(2)/QUICPay(1)","16302","JCB(6570)/交通系IC(6005)/MASTER(1047)/iD(1136)/QUICPay(1544)","15099","JCB(6085)/交通系IC(5562)/MASTER(970)/iD(1052)/QUICPay(1430)","0","","0","","0","","1","155","144","0","0","0","","0","0","0","0","0","0","0","51","0","0","948","878","0"
"05/28(金)","81","83430","68","83362","77273","68","77205","0","6157","0","6157","53","50347","46631","28","交通系IC(10)/JCB(5)/iD(4)/MASTER(8)/選択なし(1)","33083","交通系IC(8752)/JCB(7849)/iD(2471)/MASTER(13266)/選択なし(745)","30642","交通系IC(8106)/JCB(7270)/iD(2289)/MASTER(12287)/選択なし(690)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","81","0","0","1030","954","0"
"05/29(土)","116","123469","102","123367","114350","102","114248","0","9119","0","9119","75","80495","74550","41","MASTER(12)/交通系IC(19)/iD(6)/JCB(4)","42974","MASTER(12983)/交通系IC(21064)/iD(5738)/JCB(3189)","39799","MASTER(12024)/交通系IC(19508)/iD(5314)/JCB(2953)","0","","0","","0","","2","360","333","0","0","0","","0","0","0","0","0","0","0","116","0","0","1064","986","0"
"05/30(日)","94","107406","77","107329","99482","77","99405","0","7924","0","7924","55","59397","55015","39","MASTER(17)/交通系IC(17)/JCB(3)/選択なし(2)","48009","MASTER(24745)/交通系IC(17714)/JCB(2375)/選択なし(3175)","44467","MASTER(22919)/交通系IC(16407)/JCB(2200)/選択なし(2941)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","94","0","0","1143","1058","0"
"05/31(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2251","2184252","8151","2176101","2022944","7565","2015379","0","161308","586","160722","1396","1288725","1193549","855","交通系IC(397)/MASTER(234)/JCB(87)/iD(78)/選択なし(27)/QUICPay(20)/WAON(12)","895527","交通系IC(353177)/MASTER(287090)/JCB(114004)/iD(76190)/選択なし(34684)/QUICPay(17892)/WAON(12490)","829396","交通系IC(327097)/MASTER(265887)/JCB(105585)/iD(70563)/選択なし(32123)/QUICPay(16572)/WAON(11569)","0","","0","","0","","20","4894","4532","0","0","0","","0","0","0","0","0","0","0","2251","0","0","970","899","0"
