"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税込・10%対象)","客単価(税込・8%対象)","客単価(税抜)","客単価(税抜・10%対象)","客単価(税抜・8%対象)","過不足"
"11/1(火)","64","59808","45","59763","55375","45","55330","0","4433","0","4433","36","31254","28937","28","交通系IC(12)/Master(8)/QUICPay(1)/iD(2)/JCB(4)/WAON(1)","28554","交通系IC(9886)/Master(8799)/QUICPay(767)/iD(3366)/JCB(5298)/WAON(438)","26438","交通系IC(9153)/Master(8147)/QUICPay(710)/iD(3117)/JCB(4905)/WAON(406)","0","","0","","0","","2","458","425","0","0","0","","0","0","0","0","0","0","0","64","0","0","935","1","934","865","1","865","0"
"11/2(水)","53","62485","59","62426","57858","59","57799","0","4627","0","4627","30","33398","30925","23","交通系IC(8)/Master(8)/iD(2)/JCB(5)","29087","交通系IC(8001)/Master(12490)/iD(2456)/JCB(6140)","26933","交通系IC(7409)/Master(11565)/iD(2274)/JCB(5685)","0","","0","","0","","1","295","273","0","0","0","","0","0","0","0","0","0","0","53","0","0","1179","1","1178","1092","1","1091","0"
"11/3(木)","83","94867","90","94777","87837","90","87747","0","7030","0","7030","49","56458","52274","34","交通系IC(17)/Master(10)/JCB(1)/QUICPay(2)/iD(4)","38409","交通系IC(16916)/Master(12010)/JCB(1177)/QUICPay(2937)/iD(5369)","35562","交通系IC(15662)/Master(11120)/JCB(1090)/QUICPay(2719)/iD(4971)","0","","0","","0","","2","537","498","0","0","0","","0","0","0","0","0","0","0","83","0","0","1143","1","1142","1058","1","1057","0"
"11/4(金)","49","52134","53","52081","48262","53","48209","0","3872","0","3872","24","19704","18241","25","JCB(4)/Master(8)/交通系IC(11)/iD(1)/選択なし(1)","32430","JCB(3949)/Master(10927)/交通系IC(15519)/iD(835)/選択なし(1200)","30021","JCB(3656)/Master(10115)/交通系IC(14366)/iD(773)/選択なし(1111)","0","","0","","0","","1","272","252","0","0","0","","0","0","0","0","0","0","0","49","0","0","1064","1","1063","985","1","984","0"
"11/5(土)","85","90972","62","90910","84224","62","84162","0","6748","0","6748","53","55813","51673","32","Master(13)/JCB(3)/交通系IC(9)/iD(4)/QUICPay(1)/WAON(1)/選択なし(1)","35159","Master(17479)/JCB(2677)/交通系IC(6922)/iD(5291)/QUICPay(879)/WAON(313)/選択なし(1598)","32551","Master(16182)/JCB(2478)/交通系IC(6409)/iD(4899)/QUICPay(814)/WAON(290)/選択なし(1479)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","85","0","0","1070","1","1070","991","1","990","0"
"11/6(日)","92","90451","57","90394","83747","57","83690","0","6704","0","6704","54","50812","47046","38","JCB(5)/iD(2)/Master(15)/交通系IC(14)/QUICPay(2)","39639","JCB(3546)/iD(3166)/Master(20689)/交通系IC(10931)/QUICPay(1307)","36701","JCB(3283)/iD(2931)/Master(19156)/交通系IC(10121)/QUICPay(1210)","0","","0","","0","","1","886","821","0","0","0","","0","0","0","0","0","0","0","92","0","0","983","1","983","910","1","910","0"
"11/7(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11/8(火)","47","47556","29","47527","44031","29","44002","0","3525","0","3525","27","27582","25538","20","交通系IC(9)/Master(8)/JCB(1)/iD(2)","19974","交通系IC(6840)/Master(6654)/JCB(2101)/iD(4379)","18493","交通系IC(6333)/Master(6161)/JCB(1945)/iD(4054)","0","","0","","0","","1","169","156","0","0","0","","0","0","0","0","0","0","0","47","0","0","1012","1","1011","937","1","936","0"
"11/9(水)","42","35007","41","34966","32413","41","32372","0","2594","0","2594","25","20719","19184","17","Master(4)/交通系IC(6)/WAON(2)/iD(3)/JCB(2)","14288","Master(3114)/交通系IC(4851)/WAON(1431)/iD(3705)/JCB(1187)","13229","Master(2883)/交通系IC(4492)/WAON(1325)/iD(3430)/JCB(1099)","0","","0","","0","","1","185","171","0","0","0","","0","0","0","0","0","0","0","42","0","0","834","1","833","772","1","771","0"
"11/10(木)","45","49628","36","49592","45955","36","45919","0","3673","0","3673","27","28621","26503","18","Master(6)/交通系IC(5)/選択なし(1)/iD(2)/JCB(2)/QUICPay(2)","21007","Master(7746)/交通系IC(6375)/選択なし(551)/iD(1332)/JCB(3351)/QUICPay(1652)","19452","Master(7173)/交通系IC(5903)/選択なし(510)/iD(1233)/JCB(3103)/QUICPay(1530)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","45","0","0","1103","1","1102","1021","1","1020","0"
