"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税込・10%対象)","客単価(税込・8%対象)","客単価(税抜)","客単価(税抜・10%対象)","客単価(税抜・8%対象)","過不足"
"04/14(木)","39","30043","27","30016","27814","27","27787","0","2229","0","2229","26","21854","20233","13","Master(4)/交通系IC(5)/JCB(3)/WAON(1)","8189","Master(3738)/交通系IC(1869)/JCB(2014)/WAON(568)","7582","Master(3461)/交通系IC(1730)/JCB(1865)/WAON(526)","0","","0","","0","","2","593","549","0","0","0","","0","0","0","0","0","0","0","39","0","0","770","1","770","713","1","712","0"
"04/15(金)","45","40546","47","40499","37533","47","37486","0","3013","0","3013","24","19732","18266","21","Master(7)/交通系IC(8)/選択なし(1)/iD(1)/WAON(1)/JCB(2)/QUICPay(1)","20814","Master(10341)/交通系IC(5168)/選択なし(665)/iD(260)/WAON(899)/JCB(1690)/QUICPay(1791)","19268","Master(9573)/交通系IC(4784)/選択なし(616)/iD(241)/WAON(832)/JCB(1564)/QUICPay(1658)","0","","0","","0","","2","293","272","0","0","0","","0","0","0","0","0","0","0","45","0","0","901","1","900","834","1","833","0"
"04/16(土)","92","102714","94","102620","95100","94","95006","0","7614","0","7614","41","43726","40485","51","Master(19)/選択なし(1)/交通系IC(19)/JCB(4)/iD(5)/QUICPay(3)","58988","Master(24479)/選択なし(751)/交通系IC(22509)/JCB(5280)/iD(4224)/QUICPay(1745)","54615","Master(22664)/選択なし(695)/交通系IC(20840)/JCB(4889)/iD(3911)/QUICPay(1616)","0","","0","","0","","2","534","493","0","0","0","","0","0","0","0","0","0","0","92","0","0","1116","1","1115","1034","1","1033","0"
"04/17(日)","107","103251","1436","101815","95569","1313","94256","0","7682","123","7559","64","58536","54181","43","交通系IC(14)/Master(10)/iD(6)/JCB(7)/選択なし(4)/QUICPay(2)","44715","交通系IC(11861)/Master(12639)/iD(6334)/JCB(6807)/選択なし(5246)/QUICPay(1828)","41390","交通系IC(10979)/Master(11699)/iD(5863)/JCB(6301)/選択なし(4856)/QUICPay(1692)","0","","0","","0","","1","285","264","0","0","0","","0","0","0","0","0","0","0","107","0","0","965","13","952","893","12","881","0"
"04/18(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04/19(火)","77","65375","71","65304","60536","71","60465","0","4839","0","4839","49","42306","39175","28","選択なし(1)/交通系IC(18)/QUICPay(2)/JCB(3)/Master(4)","23069","選択なし(178)/交通系IC(13857)/QUICPay(680)/JCB(3045)/Master(5309)","21362","選択なし(165)/交通系IC(12831)/QUICPay(630)/JCB(2820)/Master(4916)","0","","0","","0","","2","488","452","0","0","0","","0","0","0","0","0","0","0","77","0","0","849","1","848","786","1","785","0"
"04/20(水)","65","50302","39","50263","46571","39","46532","0","3731","0","3731","35","25714","23807","30","交通系IC(15)/Master(6)/iD(3)/WAON(1)/選択なし(2)/JCB(2)/QUICPay(1)","24588","交通系IC(11783)/Master(4519)/iD(2473)/WAON(689)/選択なし(3597)/JCB(1300)/QUICPay(227)","22765","交通系IC(10909)/Master(4184)/iD(2290)/WAON(638)/選択なし(3330)/JCB(1204)/QUICPay(210)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","65","0","0","774","1","773","716","1","716","0"
"04/21(木)","48","49969","41","49928","46266","41","46225","0","3703","0","3703","32","25820","23907","16","Master(7)/交通系IC(7)/iD(2)","24149","Master(10795)/交通系IC(9700)/iD(3654)","22359","Master(9995)/交通系IC(8981)/iD(3383)","0","","0","","0","","2","366","339","0","0","0","","0","0","0","0","0","0","0","48","0","0","1041","1","1040","964","1","963","0"
"04/22(金)","57","51991","46","51945","48137","46","48091","0","3854","0","3854","37","31311","28990","20","JCB(4)/選択なし(1)/iD(3)/Master(5)/交通系IC(6)/QUICPay(1)","20680","JCB(4178)/選択なし(514)/iD(2938)/Master(6944)/交通系IC(5536)/QUICPay(570)","19147","JCB(3868)/選択なし(476)/iD(2720)/Master(6429)/交通系IC(5126)/QUICPay(528)","0","","0","","0","","2","601","556","0","0","0","","0","0","0","0","0","0","0","57","0","0","912","1","911","845","1","844","0"
"04/23(土)","82","91009","81","90928","84262","81","84181","0","6747","0","6747","49","49067","45429","33","iD(4)/交通系IC(13)/Master(11)/選択なし(2)/JCB(1)/QUICPay(2)","41942","iD(4655)/交通系IC(13769)/Master(14471)/選択なし(6195)/JCB(800)/QUICPay(2052)","38833","iD(4310)/交通系IC(12748)/Master(13398)/選択なし(5736)/JCB(741)/QUICPay(1900)","0","","0","","0","","2","574","530","0","0","0","","0","0","0","0","0","0","0","82","0","0","1110","1","1109","1028","1","1027","0"
"04/24(日)","94","98410","76","98334","91114","76","91038","0","7296","0","7296","50","49618","45939","44","交通系IC(19)/Master(12)/QUICPay(2)/JCB(5)/WAON(2)/選択なし(1)/iD(3)","48792","交通系IC(19318)/Master(13778)/QUICPay(1614)/JCB(4432)/WAON(2042)/選択なし(2111)/iD(5497)","45174","交通系IC(17886)/Master(12757)/QUICPay(1494)/JCB(4103)/WAON(1891)/選択なし(1954)/iD(5089)","0","","0","","0","","2","433","401","0","0","0","","0","0","0","0","0","0","0","94","0","0","1047","1","1046","969","1","968","0"
"04/25(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04/26(火)","42","36177","30","36147","33492","30","33462","0","2685","0","2685","24","21997","20364","18","交通系IC(13)/Master(3)/iD(2)","14180","交通系IC(9612)/Master(3491)/iD(1077)","13128","交通系IC(8899)/Master(3232)/iD(997)","0","","0","","0","","2","628","582","0","0","0","","0","0","0","0","0","0","0","42","0","0","861","1","861","797","1","797","0"
"04/27(水)","51","48948","42","48906","45321","42","45279","0","3627","0","3627","28","23202","21483","23","交通系IC(11)/QUICPay(2)/Master(4)/iD(3)/選択なし(1)/JCB(2)","25746","交通系IC(9182)/QUICPay(1306)/Master(7641)/iD(3347)/選択なし(1043)/JCB(3227)","23839","交通系IC(8502)/QUICPay(1209)/Master(7075)/iD(3099)/選択なし(966)/JCB(2988)","0","","0","","0","","2","146","135","0","0","0","","0","0","0","0","0","0","0","51","0","0","960","1","959","889","1","888","0"
"04/28(木)","58","46805","33","46772","43332","33","43299","0","3473","0","3473","36","29441","27256","22","Master(9)/QUICPay(1)/iD(3)/交通系IC(6)/JCB(3)","17364","Master(6713)/QUICPay(553)/iD(3691)/交通系IC(3794)/JCB(2613)","16075","Master(6215)/QUICPay(512)/iD(3417)/交通系IC(3512)/JCB(2419)","0","","0","","0","","2","500","462","0","0","0","","0","0","0","0","0","0","0","58","0","0","807","1","806","747","1","747","0"
"04/29(金)","64","70051","54","69997","64859","54","64805","0","5192","0","5192","31","37565","34781","33","交通系IC(11)/Master(13)/JCB(4)/WAON(2)/iD(2)/QUICPay(1)","32486","交通系IC(8041)/Master(14975)/JCB(3234)/WAON(1189)/iD(3213)/QUICPay(1834)","30078","交通系IC(7445)/Master(13865)/JCB(2994)/WAON(1101)/iD(2975)/QUICPay(1698)","0","","0","","0","","1","78","72","0","0","0","","0","0","0","0","0","0","0","64","0","0","1095","1","1094","1013","1","1013","0"
"04/30(土)","85","96146","77","96069","89012","77","88935","0","7134","0","7134","39","42130","39004","46","交通系IC(16)/Master(18)/JCB(4)/iD(5)/選択なし(1)/QUICPay(2)","54016","交通系IC(17024)/Master(24640)/JCB(5505)/iD(3952)/選択なし(1155)/QUICPay(1740)","50009","交通系IC(15761)/Master(22812)/JCB(5097)/iD(3659)/選択なし(1069)/QUICPay(1611)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","85","0","0","1131","1","1130","1047","1","1046","0"
"合計","1748","1746632","2870","1743762","1617201","2747","1614454","0","129431","123","129308","986","927444","858720","762","Master(235)/JCB(80)/交通系IC(311)/QUICPay(32)/WAON(10)/iD(75)/選択なし(19)","819188","Master(297242)/JCB(100013)/交通系IC(279579)/QUICPay(27898)/WAON(10887)/iD(78930)/選択なし(24639)","758487","Master(275215)/JCB(92607)/交通系IC(258862)/QUICPay(25832)/WAON(10081)/iD(73079)/選択なし(22811)","0","","0","","0","","39","9467","8762","0","0","0","","0","0","0","0","0","0","0","1748","0","0","999","2","998","925","2","924","0"
