"日付","取引数","売上高(税込)","売上高(税込・10%対象)","売上高(税込・8%対象)","売上高(税抜)","売上高(税抜・10%対象)","売上高(税抜・8%対象)","売上高(非課税)","消費税(金額)","消費税(10%)","消費税(8%)","現計(取引数)","現計(税込金額)","現計(税抜金額)","信計(取引数)","信計(取引数内訳)","信計(税込金額)","信計(税込金額内訳)","信計(税抜金額)","信計(税抜金額内訳)","その他(取引数)","その他(取引数内訳)","その他(税込金額)","その他(税込金額内訳)","その他(税抜金額)","その他(税抜金額内訳)","現金値引(取引数)","現金値引(税込金額)","現金値引(税抜金額)","クーポン値引(取引数)","クーポン値引(税込金額)","クーポン値引(税抜金額)","クーポン値引(内訳)","端数値引","サービス料(取引数)","サービス料(税込金額)","サービス料(税抜金額)","深夜料(取引数)","深夜料(税込金額)","深夜料(税抜金額)","客数","男","女","客単価(税込)","客単価(税込・10%対象)","客単価(税込・8%対象)","客単価(税抜)","客単価(税抜・10%対象)","客単価(税抜・8%対象)","過不足"
"10/1(土)","64","75771","79","75692","70142","79","70063","0","5629","0","5629","34","32397","29990","30","Master(12)/交通系IC(10)/QUICPay(2)/JCB(3)/選択なし(1)/iD(2)","43374","Master(23854)/交通系IC(9925)/QUICPay(734)/JCB(4953)/選択なし(1622)/iD(2286)","40152","Master(22082)/交通系IC(9188)/QUICPay(679)/JCB(4585)/選択なし(1502)/iD(2116)","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","64","0","0","1184","1","1183","1096","1","1095","0"
"10/2(日)","81","87851","68","87783","81333","68","81265","0","6518","0","6518","37","36135","33454","44","交通系IC(16)/iD(6)/Master(13)/選択なし(1)/WAON(1)/JCB(5)/QUICPay(2)","51716","交通系IC(14776)/iD(6906)/Master(18964)/選択なし(1381)/WAON(2529)/JCB(4614)/QUICPay(2546)","47880","交通系IC(13680)/iD(6394)/Master(17557)/選択なし(1279)/WAON(2341)/JCB(4272)/QUICPay(2357)","0","","0","","0","","2","250","231","0","0","0","","0","0","0","0","0","0","0","81","0","0","1085","1","1084","1004","1","1003","0"
"10/3(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10/4(火)","62","63606","30","63576","58887","30","58857","0","4719","0","4719","36","32749","30319","26","Master(12)/交通系IC(5)/選択なし(1)/JCB(4)/iD(4)","30857","Master(16401)/交通系IC(5374)/選択なし(886)/JCB(3696)/iD(4500)","28567","Master(15184)/交通系IC(4975)/選択なし(820)/JCB(3422)/iD(4166)","0","","0","","0","","1","277","256","0","0","0","","0","0","0","0","0","0","0","62","0","0","1026","0","1025","950","0","949","0"
"10/5(水)","34","33164","44","33120","30700","44","30656","0","2464","0","2464","16","12159","11256","18","交通系IC(9)/JCB(5)/Master(4)","21005","交通系IC(12416)/JCB(3905)/Master(4684)","19445","交通系IC(11494)/JCB(3615)/Master(4336)","0","","0","","0","","2","346","321","0","0","0","","0","0","0","0","0","0","0","34","0","0","975","1","974","903","1","902","0"
"10/6(木)","44","39800","31","39769","36845","31","36814","0","2955","0","2955","23","17204","15927","21","Master(8)/iD(1)/JCB(6)/交通系IC(6)","22596","Master(11108)/iD(735)/JCB(4924)/交通系IC(5829)","20917","Master(10283)/iD(680)/JCB(4558)/交通系IC(5396)","0","","0","","0","","1","256","237","0","0","0","","0","0","0","0","0","0","0","44","0","0","905","1","904","837","1","837","0"
"10/7(金)","34","32576","20","32556","30157","20","30137","0","2419","0","2419","19","15633","14472","15","Master(8)/iD(2)/JCB(2)/QUICPay(1)/交通系IC(2)","16943","Master(11741)/iD(1167)/JCB(2507)/QUICPay(976)/交通系IC(552)","15685","Master(10869)/iD(1080)/JCB(2321)/QUICPay(904)/交通系IC(511)","0","","0","","0","","2","166","153","0","0","0","","0","0","0","0","0","0","0","34","0","0","958","1","958","887","1","886","0"
"10/8(土)","84","97251","68","97183","90023","68","89955","0","7228","0","7228","40","39129","36221","44","Master(19)/JCB(7)/交通系IC(13)/選択なし(2)/iD(2)/QUICPay(1)","58122","Master(28019)/JCB(6706)/交通系IC(14194)/選択なし(2915)/iD(4533)/QUICPay(1755)","53803","Master(25937)/JCB(6208)/交通系IC(13139)/選択なし(2698)/iD(4196)/QUICPay(1625)","0","","0","","0","","2","393","364","0","0","0","","0","0","0","0","0","0","0","84","0","0","1158","1","1157","1072","1","1071","0"
"10/9(日)","57","72289","46","72243","66920","46","66874","0","5369","0","5369","35","41695","38598","22","Master(4)/交通系IC(6)/iD(3)/選択なし(1)/JCB(6)/QUICPay(2)","30594","Master(7066)/交通系IC(6738)/iD(4406)/選択なし(1600)/JCB(7834)/QUICPay(2950)","28322","Master(6541)/交通系IC(6238)/iD(4079)/選択なし(1481)/JCB(7252)/QUICPay(2731)","0","","0","","0","","2","454","420","0","0","0","","0","0","0","0","0","0","0","57","0","0","1268","1","1267","1174","1","1173","0"
"10/10(月)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","","0","","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
