date,transactions,sales,sales_transactions,cash_sales,cashless_transactions,cashless_kind,cashless_sales,cashless_sales_kind,customers,Customer_unit_price,store_horiday
2021/03/7,87,89542,54,50509,33,WAON(1)/iD(9)/交通系IC(12)/選択なし(2)/JCB(1)/MASTER(7)/QUICPay(1),39033,WAON(870)/iD(8110)/交通系IC(16777)/選択なし(1642)/JCB(743)/MASTER(9181)/QUICPay(1710),87,1029,0
2021/03/8,0,0,0,0,0,,0,,0,0,1
2021/03/9,83,64391,55,43405,28,交通系IC(15)/MASTER(7)/iD(2)/JCB(4),20986,交通系IC(9735)/MASTER(7021)/iD(1415)/JCB(2815),83,776,0
2021/03/10,67,53342,49,39693,18,MASTER(5)/JCB(2)/交通系IC(8)/WAON(1)/iD(2),13648,MASTER(4769)/JCB(2265)/交通系IC(4209)/WAON(1355)/iD(1050),67,796,0
2021/03/11,85,69184,57,46911,28,MASTER(10)/交通系IC(11)/JCB(2)/選択なし(1)/iD(3)/QUICPay(1),22274,MASTER(8591)/交通系IC(6359)/JCB(2970)/選択なし(1490)/iD(1761)/QUICPay(1103),85,814,0
2021/03/12,85,81077,63,57536,22,MASTER(11)/交通系IC(8)/JCB(1)/QUICPay(1)/iD(1),23541,MASTER(12941)/交通系IC(6146)/JCB(1784)/QUICPay(1460)/iD(1210),85,954,0
2021/03/13,57,54852,38,33556,19,交通系IC(5)/WAON(1)/iD(3)/MASTER(8)/JCB(1)/QUICPay(1),21296,交通系IC(5692)/WAON(720)/iD(2280)/MASTER(9993)/JCB(1745)/QUICPay(866),57,962,0
2021/03/14,123,112718,91,82848,32,交通系IC(13)/iD(5)/WAON(1)/MASTER(9)/JCB(3)/選択なし(1),29870,交通系IC(11029)/iD(3641)/WAON(200)/MASTER(9266)/JCB(3662)/選択なし(2072),123,916,0
2021/03/15,0,0,0,0,0,,0,,0,0,1
2021/03/16,98,82090,70,59958,28,交通系IC(14)/iD(3)/JCB(3)/MASTER(8),22132,交通系IC(9483)/iD(2341)/JCB(2501)/MASTER(7807),98,838,0
2021/03/17,72,60633,51,42679,21,交通系IC(10)/MASTER(8)/iD(3),17954,交通系IC(7091)/MASTER(8610)/iD(2253),72,842,0
2021/03/18,82,69016,57,41496,25,iD(4)/MASTER(3)/JCB(5)/交通系IC(11)/選択なし(1)/QUICPay(1),27521,iD(3997)/MASTER(1834)/JCB(5972)/交通系IC(13195)/選択なし(1360)/QUICPay(1163),82,842,0
2021/03/19,98,88499,63,58616,35,交通系IC(15)/MASTER(8)/WAON(2)/JCB(6)/iD(2)/選択なし(1)/QUICPay(1),29882,交通系IC(10334)/MASTER(8466)/WAON(2514)/JCB(5039)/iD(1060)/選択なし(1249)/QUICPay(1220),98,903,0
2021/03/20,124,112183,78,68941,46,MASTER(8)/交通系IC(24)/JCB(6)/iD(5)/選択なし(1)/WAON(1)/QUICPay(1),43242,MASTER(8016)/交通系IC(20120)/JCB(7526)/iD(3511)/選択なし(1982)/WAON(673)/QUICPay(1414),124,905,0
2021/03/21,31,29971,23,22388,8,MASTER(2)/QUICPay(1)/JCB(1)/交通系IC(3)/iD(1),7583,MASTER(1833)/QUICPay(1555)/JCB(1185)/交通系IC(2010)/iD(1000),31,967,0
2021/03/22,0,0,0,0,0,,0,,0,0,1
2021/03/23,89,72309,70,53526,19,JCB(2)/交通系IC(8)/iD(2)/MASTER(6)/QUICPay(1),18783,JCB(2063)/交通系IC(5285)/iD(2316)/MASTER(7699)/QUICPay(1420),89,812,0
2021/03/24,89,75810,60,48119,29,MASTER(11)/選択なし(2)/交通系IC(11)/QUICPay(1)/iD(3)/JCB(1),27690,MASTER(12710)/選択なし(1490)/交通系IC(7022)/QUICPay(1390)/iD(3548)/JCB(1530),89,852,0
2021/03/25,79,73035,55,47679,24,MASTER(9)/WAON(1)/交通系IC(8)/JCB(4)/iD(2),25356,MASTER(11923)/WAON(559)/交通系IC(6474)/JCB(3889)/iD(2511),79,924,0
2021/03/26,87,84098,63,55765,25,JCB(5)/iD(2)/交通系IC(10)/MASTER(8),28333,JCB(12969)/iD(1380)/交通系IC(5673)/MASTER(8311),87,967,0
2021/03/27,132,115016,87,75080,45,MASTER(12)/交通系IC(23)/JCB(4)/WAON(3)/iD(3),39937,MASTER(12981)/交通系IC(20414)/JCB(2649)/WAON(1304)/iD(2589),132,871,0
2021/03/28,83,68037,54,38379,30,MASTER(13)/JCB(5)/交通系IC(9)/WAON(1)/iD(2),29659,MASTER(12158)/JCB(4772)/交通系IC(7689)/WAON(770)/iD(4270),83,820,0
2021/03/29,0,0,0,0,0,,0,,0,0,1
2021/03/30,97,82300,66,53089,31,交通系IC(14)/JCB(8)/MASTER(5)/iD(2)/QUICPay(1)/選択なし(1),29211,交通系IC(12157)/JCB(9110)/MASTER(4255)/iD(1049)/QUICPay(1080)/選択なし(1560),97,848,0
2021/03/31,72,54751,47,37915,25,MASTER(5)/交通系IC(15)/JCB(1)/iD(4),16836,MASTER(3360)/交通系IC(10463)/JCB(340)/iD(2673),72,760,0
2021/04/1,73,66966,52,44366,21,JCB(7)/MASTER(3)/交通系IC(8)/iD(2)/選択なし(1),22600,JCB(9379)/MASTER(3248)/交通系IC(5953)/iD(850)/選択なし(3170),73,917,0
2021/04/2,75,59923,51,38215,24,QUICPay(1)/選択なし(1)/MASTER(5)/JCB(3)/交通系IC(10)/WAON(1)/iD(3),21709,QUICPay(400)/選択なし(1139)/MASTER(4332)/JCB(3151)/交通系IC(7598)/WAON(846)/iD(4243),75,799,0
2021/04/3,103,104918,66,65190,39,iD(3)/MASTER(14)/JCB(7)/交通系IC(9)/WAON(4)/選択なし(1)/QUICPay(1),39728,iD(1975)/MASTER(20094)/JCB(6153)/交通系IC(5889)/WAON(3423)/選択なし(600)/QUICPay(1594),103,1019,0
2021/04/4,98,92190,66,51824,32,iD(3)/交通系IC(14)/JCB(6)/MASTER(5)/選択なし(3)/QUICPay(1),40365,iD(2383)/交通系IC(16227)/JCB(7560)/MASTER(4720)/選択なし(8045)/QUICPay(1430),98,941,0
2021/04/5,0,0,0,0,0,,0,,0,0,1
2021/04/6,95,74967,61,49193,34,MASTER(8)/WAON(1)/交通系IC(16)/選択なし(2)/QUICPay(1)/JCB(3)/iD(3),25774,MASTER(5458)/WAON(330)/交通系IC(11549)/選択なし(3285)/QUICPay(660)/JCB(2481)/iD(2011),95,789,0
2021/04/7,77,65659,44,30265,33,MASTER(12)/WAON(1)/交通系IC(14)/JCB(3)/iD(2)/QUICPay(1),35393,MASTER(14004)/WAON(760)/交通系IC(13892)/JCB(4206)/iD(1451)/QUICPay(1080),77,853,0
2021/04/8,85,75279,61,56059,24,交通系IC(12)/MASTER(8)/WAON(1)/iD(3),19220,交通系IC(10195)/MASTER(5730)/WAON(640)/iD(2655),85,886,0
2021/04/9,75,68754,53,45098,23,交通系IC(12)/WAON(1)/MASTER(6)/JCB(1)/iD(2)/選択なし(1),23655,交通系IC(6778)/WAON(409)/MASTER(11864)/JCB(1780)/iD(1401)/選択なし(1423),75,917,0
2021/04/10,118,114246,85,77006,34,iD(4)/MASTER(11)/JCB(8)/交通系IC(8)/WAON(1)/選択なし(1)/QUICPay(1),37241,iD(3269)/MASTER(17011)/JCB(8230)/交通系IC(5482)/WAON(300)/選択なし(1251)/QUICPay(1698),118,968,0
2021/04/11,106,113366,71,66683,35,iD(4)/MASTER(12)/交通系IC(14)/WAON(2)/JCB(2)/QUICPay(1),46683,iD(3685)/MASTER(22159)/交通系IC(15810)/WAON(1596)/JCB(2003)/QUICPay(1430),106,1069,0
2021/04/12,0,0,0,0,0,,0,,0,0,1
2021/04/13,83,68935,59,46530,24,交通系IC(10)/MASTER(3)/JCB(8)/iD(2)/WAON(1),22404,交通系IC(6551)/MASTER(3593)/JCB(8581)/iD(2720)/WAON(959),83,831,0
2021/04/14,53,44213,41,32561,12,iD(5)/MASTER(3)/交通系IC(4),11653,iD(3239)/MASTER(3286)/交通系IC(5128),53,834,0
2021/04/15,86,77419,59,48542,27,交通系IC(7)/JCB(4)/選択なし(3)/iD(5)/MASTER(6)/WAON(1)/QUICPay(1),28878,交通系IC(6372)/JCB(6567)/選択なし(4267)/iD(4138)/MASTER(5094)/WAON(930)/QUICPay(1510),86,900,0
2021/04/16,72,55984,45,28891,27,MASTER(7)/iD(5)/交通系IC(10)/JCB(5),27092,MASTER(8706)/iD(3714)/交通系IC(8015)/JCB(6657),72,778,0
2021/04/17,98,104329,67,71848,31,MASTER(12)/選択なし(1)/交通系IC(10)/iD(4)/JCB(1)/WAON(1)/QUICPay(2),32480,MASTER(17075)/選択なし(669)/交通系IC(8245)/iD(3203)/JCB(684)/WAON(610)/QUICPay(1994),98,1065,0
2021/04/18,117,112035,81,73905,36,JCB(2)/iD(6)/交通系IC(16)/MASTER(11)/QUICPay(1),38130,JCB(1637)/iD(9942)/交通系IC(14548)/MASTER(11132)/QUICPay(871),117,958,0
2021/04/19,0,0,0,0,0,,0,,0,0,1
2021/04/20,111,85870,74,51875,38,MASTER(11)/交通系IC(15)/JCB(2)/iD(7)/選択なし(2)/WAON(1),33994,MASTER(9634)/交通系IC(12392)/JCB(3127)/iD(5537)/選択なし(2304)/WAON(1000),111,774,0
2021/04/21,62,53983,40,29800,22,JCB(1)/交通系IC(11)/選択なし(2)/MASTER(5)/iD(2)/QUICPay(1),24183,JCB(1554)/交通系IC(8478)/選択なし(3389)/MASTER(7214)/iD(1190)/QUICPay(2358),62,871,0
2021/04/22,77,64017,49,38185,28,JCB(9)/交通系IC(8)/MASTER(10)/iD(1),25831,JCB(8169)/交通系IC(7587)/MASTER(9855)/iD(220),77,831,0
